IDENTIFIER,SCORE
Sunday,N1
Monday,N1
Tuesday,N1
Wednesday,N1
Thursday,N1
Friday,N1
Saturday,N1
Jan,N2
Feb,N2
Mar,N2
Apr,N2
Jun,N2
Jul,N2
Aug,N2
Sep,N2
Oct,N2
Nov,N2
Dec,N2
%_Change_2007,N2
_Bottom,N1
_Height,N1
_Key,N1
_Left,N1
_Right,N1
_Title,N1
_Top,N1
_Value,N1
_Width,N1
18_49_Rating_Share,N2
a,N3
A_Horizon,N2
a_id,N2
AA,N3
ab,N3
abandoned_yn,N2
ABARoutNum,N2
Abbreviation,N1
Above_Permanent_Identifier,N1
AbsEbtry,N3
Absence,N1
AbsenceID,N1
AbsEntry,N2
AbsId,N2
AbsolutVa,N2
abstract,N1
Abundance,N1
AbundanceDetails,N1
AbundanceID,N1
AbundanceText,N1
ABWVAT,N3
ABWVATFc,N3
ABWVATSc,N3
AC,N3
ACAccQty,N2
ACAccTotal,N2
acc_bal,N2
ACC_Home,N2
Acc_Notes,N2
ACC_Percent,N2
ACC_Regular_Season,N2
ACC_Road,N2
acc_type,N2
AccBaseFC,N2
AccBaseSC,N2
AccBaseSum,N2
AccCategory,N2
AccCritria,N2
Accelerate,N1
acceleration,N1
accelerator_id,N1
AccEmploye,N2
Accepted,N1
Access,N1
access_count,N1
AccessChnl,N2
AccessDate,N1
accession_number,N1
AccessKey,N1
AccessTime,N1
AccExtern,N2
AccInvAP,N3
AccInvAR,N3
accLvlSet,N2
AccmAmnt,N3
AccmAmntFC,N3
AccmAmntSC,N3
AccNegQ,N3
AccNotes,N2
AccntntCod,N2
AccOpAmAP,N3
AccOpAmAR,N3
According,N1
Account,N1
Account_Details,N1
Account_ID,N1
account_name,N1
AccountChk,N2
AccountId,N1
AccountIn,N2
AccPhBudg,N3
AccPoPhAmt,N3
AccQty,N2
AccQtyAP,N3
AccQtyAR,N3
Accreditation_level,N1
Accreditation_type,N1
AccRelQty,N2
AccrualTyp,N2
AccStIden,N2
AccStRem,N2
AcctBkName,N2
AcctBkNo,N3
AcctCdeFrm,N2
AcctCdeTo,N3
acctCode,N2
AcctDesc,N2
AcctDtn,N3
AcctFltr,N3
AcctFrom,N2
AcctMethod,N2
AcctName,N2
AcctNo,N2
AcctNum,N2
AccTotal,N2
AccTotAP,N3
AccTotAR,N3
AcctPeriod,N2
AcctReq,N2
AcctStrLe,N3
AcctStruct,N2
AcctTo,N2
AcctType,N2
AccTVarAP,N3
AccTVarAR,N3
AccType,N2
AccumDbCr,N3
AccumType,N2
AccuPriorP,N2
Accuracy_Notes,N1
AcCustomFC,N2
AccVPercAP,N3
AccVPercAR,N3
AccWTaxFC,N3
AccWTaxSC,N3
AccWTaxSum,N2
AckNum,N2
AcmAmt,N3
AcqAcct,N2
AcqDate,N2
AcqPRTyp,N3
AcqRevTax,N2
AcqsTax,N2
AcqstnRvrs,N3
ACRES_303D,N2
AcsDsbldBP,N3
ActAddCost,N2
ActBaseEnt,N2
ActBaseLn,N2
ActBaseNum,N2
ActBaseTp,N2
ActBasSubL,N2
ActBlnc,N2
ActBlncFrC,N3
ActBlncGrp,N2
ActBlncToC,N2
ActBPrCost,N2
ActCode,N2
ActCurr,N2
ActCurrncy,N2
ActCustom,N2
ActCustSC,N2
ActDelDate,N2
ActDesc,N2
ActDiffBal,N2
ActDueDate,N1
ActDurType,N2
ActEntry,N2
ActEnv,N2
ActExpLine,N2
ActFailed,N2
ActFee,N2
ActFrmBlnc,N2
ActFrmStat,N2
ActFrmtCod,N2
ActFromCod,N2
ActGroup,N2
ActICCost,N2
ActId,N2
ActIndex,N2
Action,N1
ActionBy,N1
ActionCode,N1
ActionDate,N1
ActionT,N2
ActionTime,N1
ActionType,N1
ActItemEnt,N2
ACTIVATE,N1
Activated,N1
Active,N1
active_from_date,N1
active_to_date,N1
ActiveDst,N2
ActiveSafetySysNote,N2
Activity,N1
