native_identifier,table_or_column,source_database,native_naturalness,N1_identifier,N2_identifier,N3_identifier
Abundance,column,ASIS_20161108_HerpInv_Database,N1,Abundance,Abndnc,Abd
AbundanceID,column,ASIS_20161108_HerpInv_Database,N1,AbundanceID,Abndnc_ID,AbdID
AbundanceText,column,ASIS_20161108_HerpInv_Database,N1,AbundanceText,AbndncTxt,AbdTxt
AccCategory,column,ASIS_20161108_HerpInv_Database,N2,accuracy_category,AccCategory,ACat
AccNotes,column,ASIS_20161108_HerpInv_Database,N2,AccuracyNotes,AccNotes,AN
ADDRESS,column,ASIS_20161108_HerpInv_Database,N1,ADDRESS,Addr,Ad
ADDRESS2,column,ASIS_20161108_HerpInv_Database,N1,ADDRESS2,Addr2,Ad2
Age,column,ASIS_20161108_HerpInv_Database,N1,Age,Ag,Ag
Agency/Title,column,ASIS_20161108_HerpInv_Database,N1,Agency/Title,Agcy/Title,A/T
AirTemp,column,ASIS_20161108_HerpInv_Database,N2,AirTemperature,AirTemp,Atp
Aspect,column,ASIS_20161108_HerpInv_Database,N1,Aspect,Aspct,Asp
Behavior,column,ASIS_20161108_HerpInv_Database,N1,Behavior,Behvr,Bhvr
Board_#,column,ASIS_20161108_HerpInv_Database,N1,Board_#,Brd,Bd
Call_Index,column,ASIS_20161108_HerpInv_Database,N1,Call_Index,Call_Index,C_Ix
CallIndex,column,ASIS_20161108_HerpInv_Database,N1,CallIndex,CallIdx,Cix
Capture_Method,column,ASIS_20161108_HerpInv_Database,N1,Capture_Method,Cptre_Mthd,Cp_Mthd
CaptureMethod,column,ASIS_20161108_HerpInv_Database,N1,CaptureMethod,CaptMthd,CpMthd
Carapace_Length,column,ASIS_20161108_HerpInv_Database,N1,Carapace_Length,Cara_Length,CL
Carapace_Width,column,ASIS_20161108_HerpInv_Database,N1,Carapace_Width,Cara_Width,CW
CITY,column,ASIS_20161108_HerpInv_Database,N1,CITY,Cty,Cy
Clouds,column,ASIS_20161108_HerpInv_Database,N1,Clouds,Clds,Cld
Comments,column,ASIS_20161108_HerpInv_Database,N1,Comments,Cmts,Cmt
Common_Name,column,ASIS_20161108_HerpInv_Database,N1,Common_Name,Cmn_Name,C_Nm
Conductivity,column,ASIS_20161108_HerpInv_Database,N1,Conductivity,Condctvty,Cndcty
ContactID,column,ASIS_20161108_HerpInv_Database,N1,ContactID,CntctID,CID
Count,column,ASIS_20161108_HerpInv_Database,N1,Count,Cnt,Ct
Cultivation,column,ASIS_20161108_HerpInv_Database,N1,Cultivation,Cultvtn,Cult
CultivationCode,column,ASIS_20161108_HerpInv_Database,N1,CultivationCode,Cultvtn_Code,Cult_Cd
CultivationText,column,ASIS_20161108_HerpInv_Database,N1,CultivationText,Cultvtn_Text,Cult_txt
Datum,column,ASIS_20161108_HerpInv_Database,N1,Datum,Dtm,Dm
definition,column,ASIS_20161108_HerpInv_Database,N1,definition,defn,def
Description,column,ASIS_20161108_HerpInv_Database,N1,Description,Descrp,Desc
diagram_id,column,ASIS_20161108_HerpInv_Database,N1,diagram_id,dgrm_id,DgId
Ectoparasites,column,ASIS_20161108_HerpInv_Database,N1,Ectoparasites,EctoParasites,Ecto
Elevation,column,ASIS_20161108_HerpInv_Database,N1,Elevation,Elev,Elv
EmailAddress,column,ASIS_20161108_HerpInv_Database,N1,EmailAddress,EmailAddr,E_Addr
EndDate,column,ASIS_20161108_HerpInv_Database,N1,EndDate,EndDt,EnDt
EndTime,column,ASIS_20161108_HerpInv_Database,N1,EndTime,EndTm,EnTm
EstHError,column,ASIS_20161108_HerpInv_Database,N3,estimated_horizontal_accuracy_error,EstHorizError,EstHError
EstVError,column,ASIS_20161108_HerpInv_Database,N2,estimated_vertical_error,EstVError,EVE
EventID,column,ASIS_20161108_HerpInv_Database,N1,EventID,EvtID,EID
Evidence_Code,column,ASIS_20161108_HerpInv_Database,N1,Evidence_Code,Evdnc_Cd,EvCd
FaxNumber,column,ASIS_20161108_HerpInv_Database,N1,FaxNumber,FaxNum,FxNum
FirstName,column,ASIS_20161108_HerpInv_Database,N1,FirstName,FirstNm,FName
GosnerStages,column,ASIS_20161108_HerpInv_Database,N1,GosnerStages,GosnerStgs,GS
Habitat,column,ASIS_20161108_HerpInv_Database,N1,Habitat,Hbtat,Hbt
HomePhone,column,ASIS_20161108_HerpInv_Database,N1,HomePhone,HmPhone,H_Phn
Gravid,column,ASIS_20161108_HerpInv_Database,N2,is_gravid,Gravid,Gvd
LastName,column,ASIS_20161108_HerpInv_Database,N1,LastName,LstName,LName
LatY,column,ASIS_20161108_HerpInv_Database,N3,LatitudeY,LatitdY,LatY
LocationID,column,ASIS_20161108_HerpInv_Database,N2,location_id_code,LocationID,LID
LonX,column,ASIS_20161108_HerpInv_Database,N3,LongitudeY,LongitY,LonX
MiddleInit,column,ASIS_20161108_HerpInv_Database,N2,middle_initial,MiddleInit,MdlInit
name,column,ASIS_20161108_HerpInv_Database,N1,name,nm,n
Nativity,column,ASIS_20161108_HerpInv_Database,N1,Nativity,Nativty,Ntvty
NativityID,column,ASIS_20161108_HerpInv_Database,N1,NativityID,Ntvty_ID,NID
NativityText,column,ASIS_20161108_HerpInv_Database,N1,NativityText,NtvtyTxt,NTxt
Notch_Code,column,ASIS_20161108_HerpInv_Database,N1,Notch_Code,Ntch_Cd,NC
Notes,column,ASIS_20161108_HerpInv_Database,N1,Notes,Nts,Nt
Number,column,ASIS_20161108_HerpInv_Database,N1,Number,Numb,Num
Number_Observed,column,ASIS_20161108_HerpInv_Database,N1,Number_Observed,NumObs,N_Obs
ObsInits,column,ASIS_20161108_HerpInv_Database,N2,observer_initials,ObsInits,OI
Observer_LU,table,ASIS_20161108_HerpInv_Database,N2,observer_lookup_table,Observer_LU,Obs_LU
