native_identifier,table_or_column,source_database,native_naturalness,N1_identifier,N2_identifier,N3_identifier
Author_email,column,ATBI,N1,Author_email,Authr_eml,A_eml
Accuracy_Notes,column,ATBI,N1,Accuracy_Notes,Acc_Notes,A_Nt
Association_observed,column,ATBI,N1,Association_observed,Assoc_obs,A_obs
Author_org,column,ATBI,N2,Author_Organization,Author_org,A_Org
Author_phone,column,ATBI,N1,Author_phone,Authr_Phn,A_Phn
Activity,column,ATBI,N1,Activity,Actvty,Act
Agriculture,column,ATBI,N1,Agriculture,Agrcltr,Agri
A_Horizon,column,ATBI,N2,depth_of_a_horizon,A_Horizon,AHor
Author_org_name,column,ATBI,N2,Author_organization_name,Author_org_name,AON
Aspect,column,ATBI,N1,Aspect,Aspct,Asp
Author,column,ATBI,N1,Author,Authr,Atr
Bug_ID,column,ATBI,N1,Bug_ID,B_ID,B_ID
Backup_prompt_startup,column,ATBI,N1,Backup_prompt_startup,Bckup_prmpt_strtup,B_P_Start
Backup_prompt_exit,column,ATBI,N1,Backup_prompt_exit,Bkp_Prompt_Exit,BPE
Crew_Members,column,ATBI,N1,Crew_Members,Crew_Mbrs,C_Mem
CanPos_Name,column,ATBI,N2,canopy_position_name,CanPos_Name,CanPos_Nm
CanPos_Num,column,ATBI,N3,CanopyPositionNumber,CanPos_Number,CanPos_Num
CoverClass_Text,column,ATBI,N1,CoverClass_Text,CvrCls_Txt,CC_Txt
CoverClass_Num,column,ATBI,N2,cover_class_number,CoverClass_Num,CCN
CommonName,column,ATBI,N1,CommonName,Cmn_Name,CmNm
Compact_be_exit,column,ATBI,N2,compact_backend_exit,Compact_be_exit,CmpctBExit
Condition,column,ATBI,N1,Condition,Cndtn,Cnd
tlu_Can_Pos,table,ATBI,N2,canpoy_position_lookup,tlu_Can_Pos,CnPs
Cond_Num,column,ATBI,N2,condition_number,Cond_Num,CNum
CanPos,column,ATBI,N3,canopy_position,CanPos,Cpos
Coord_Units,column,ATBI,N2,coordinate_units,Coord_Units,CrdUnts
Coord_System,column,ATBI,N2,coordinate_system,Coord_System,CS
Cond_Text,column,ATBI,N2,condition_text,Cond_Text,CTxt
