native_identifier,table_or_column,source_database,native_naturalness,N1_identifier,N2_identifier,N3_identifier
Breed,column,CratersWildlifeObservations,N1,Breed,Brd,Bd
Breeding_Codes,table,CratersWildlifeObservations,N1,Breeding_Codes,Brdng_Cds,BdCds
Big_Game,column,CratersWildlifeObservations,N1,Big_Game,BGame,BG
Common_Name,column,CratersWildlifeObservations,N1,Common_Name,Cmn_Name,C_Nm
Code,table,CratersWildlifeObservations,N1,Code,Cd,Cd
Code,column,CratersWildlifeObservations,N1,Code,Cd,Cd
Class,table,CratersWildlifeObservations,N1,Class,Cls,Cls
Class,column,CratersWildlifeObservations,N1,Class,Cls,Cls
Comments,column,CratersWildlifeObservations,N1,Comments,Commts,Cmts
Definition,column,CratersWildlifeObservations,N1,Definition,Defn,Def
diagram_id,column,CratersWildlifeObservations,N1,diagram_id,dgrm_id,DgId
Datum,column,CratersWildlifeObservations,N1,Datum,Datm,Dm
Date,column,CratersWildlifeObservations,N1,Date,Dt,Dt
Field1,column,CratersWildlifeObservations,N2,DataField1,Field1,F1
Field2,column,CratersWildlifeObservations,N2,DataField2,Field2,F2
Family,column,CratersWildlifeObservations,N1,Family,Famly,Fam
Genus_species,column,CratersWildlifeObservations,N1,Genus_species,Gns_Spcs,G_Sp
HABITAT_CODES,table,CratersWildlifeObservations,N1,HABITAT_CODES,HBT_CD,HBC
Habitat,column,CratersWildlifeObservations,N1,Habitat,Hbtat,Hbt
HWY_Mile_Marker,column,CratersWildlifeObservations,N2,HWY_Mile_Marker,HWY_Mile_Marker,HMM
ID,column,CratersWildlifeObservations,N2,Identification,ID,ID
INVERTEBRATES,table,CratersWildlifeObservations,N1,INVERTEBRATES,INVTS,INV
Invert_Family,table,CratersWildlifeObservations,N2,Invert_Family,Invert_Family,InvFam
Invert_Family,column,CratersWildlifeObservations,N2,Invert_Family,Invert_Family,InvFam
Invert_Order,table,CratersWildlifeObservations,N2,Invert_Order,Invert_Order,InvOrd
Location,column,CratersWildlifeObservations,N1,Location,Lctn,Loc
Month,table,CratersWildlifeObservations,N1,Month,Mnth,Mth
Month,column,CratersWildlifeObservations,N1,Month,Mnth,Mth
name,column,CratersWildlifeObservations,N1,name,nm,n
number_killed,column,CratersWildlifeObservations,N1,number_killed,num_killed,n_kld
Number,column,CratersWildlifeObservations,N1,Number,Numb,Nbr
Notes,column,CratersWildlifeObservations,N1,Notes,Nots,Nts
Observer,column,CratersWildlifeObservations,N1,Observer,Obsrvr,Obsr
Order,column,CratersWildlifeObservations,N1,Order,Ord,Ord
OBS_TYPE,column,CratersWildlifeObservations,N2,OBS_TYPE,OBS_TYPE,OT
Ownership,column,CratersWildlifeObservations,N1,Ownership,Ownrshp,Own
Paste_Errors,table,CratersWildlifeObservations,N1,Paste_Errors,Pst_Errs,P_Err
principal_id,column,CratersWildlifeObservations,N1,principal_id,prncpl_id,p_id
Roadkill,table,CratersWildlifeObservations,N1,Roadkill,RdKill,Rkl
sysdiagrams,table,CratersWildlifeObservations,N1,sysdiagrams,sysdiagrms,s_dgm
Scientific_Name,column,CratersWildlifeObservations,N1,Scientific_Name,Sci_Name,Sci_Nm
Species,column,CratersWildlifeObservations,N1,Species,Specs,Sp
SSMA_TimeStamp,column,CratersWildlifeObservations,N3,SSMA_TimeStamp,SSMA_TimeStamp,SSMA_TimeStamp
Survey,column,CratersWildlifeObservations,N1,Survey,Srvy,Svy
Time,column,CratersWildlifeObservations,N1,Time,Tm,Tm
UTME,column,CratersWildlifeObservations,N3,UniversalTransverseMercatorEast,UnivTransMercEast,UTME
UTMN,column,CratersWildlifeObservations,N3,UniversalTransverseMercatorNorth,UnivTransMercNrth,UTMN
UTMX,column,CratersWildlifeObservations,N3,UniversalTransverseMercatorX,UnivTransMercX,UTMX
UTMY,column,CratersWildlifeObservations,N3,UniversalTransverseMercatorY,UnivTransMercY,UTMY
VERTEBRATES,table,CratersWildlifeObservations,N1,VERTEBRATES,VRTBRTS,Vrts
version,column,CratersWildlifeObservations,N1,version,vers,vsn
WILDLIFE_MASTERLIST,table,CratersWildlifeObservations,N1,WILDLIFE_MASTERLIST,WLDLF_MSTRLST,WMlst
Year,column,CratersWildlifeObservations,N1,Year,Yr,Yr
