native_identifier,table_or_column,source_database,native_naturalness,N1_identifier,N2_identifier,N3_identifier
Address,column,KlamathInvasiveSpecies,N1,Address,Addr,A
Accuracy_Notes,column,KlamathInvasiveSpecies,N1,Accuracy_Notes,Acc_Notes,A_Nt
Address_Type,column,KlamathInvasiveSpecies,N1,Address_Type,Addr_Type,A_Tp
Address2,column,KlamathInvasiveSpecies,N1,Address2,Addr2,A2
Aspect,column,KlamathInvasiveSpecies,N1,Aspect,Aspct,Asp
BareGround,column,KlamathInvasiveSpecies,N1,BareGround,BareGrnd,BrGnd
Contact_ID,column,KlamathInvasiveSpecies,N1,Contact_ID,Cntct_ID,C_ID
Contact_Notes,column,KlamathInvasiveSpecies,N1,Contact_Notes,Cntct_Nts,C_Nts
Contact_Role,column,KlamathInvasiveSpecies,N1,Contact_Role,Cntct_Role,C_Rl
CoverClass,column,KlamathInvasiveSpecies,N1,CoverClass,CvrCls,CC
Coord_System,column,KlamathInvasiveSpecies,N2,coordinate_system,Coord_System,CrdSys
Coord_Units,column,KlamathInvasiveSpecies,N2,coordinate_units,Coord_Units,CrdUnts
Country,column,KlamathInvasiveSpecies,N1,Country,Cntry,Ctry
County,column,KlamathInvasiveSpecies,N1,County,Cnty,Cty
CoverPercent,column,KlamathInvasiveSpecies,N1,CoverPercent,CoverPerc,CvrPct
City,column,KlamathInvasiveSpecies,N1,City,Cty,Cy
Date_Change,column,KlamathInvasiveSpecies,N1,Date_Change,Dt_Chng,D_Chg
Data_ID,column,KlamathInvasiveSpecies,N1,Data_ID,Dat_ID,D_ID
Date_Monumented,column,KlamathInvasiveSpecies,N1,Date_Monumented,Date_Monum,D_Mntd
Deciduous,column,KlamathInvasiveSpecies,N1,Deciduous,Decidus,Dcds
Db_Desc,column,KlamathInvasiveSpecies,N2,Database_Description,Db_Desc,DD
Datum,column,KlamathInvasiveSpecies,N1,Datum,Dtm,Dm
Db_Meta_ID,column,KlamathInvasiveSpecies,N2,database_metadata_id,Db_Meta_ID,DMI
DSC_GUID,column,KlamathInvasiveSpecies,N3,dataset_catalog_guid,DSC_GID,DSC_GUID
Distance,column,KlamathInvasiveSpecies,N1,Distance,Dist,Dst
Email_Address,column,KlamathInvasiveSpecies,N1,Email_Address,Email_Addr,E_Addr
Event_ID,column,KlamathInvasiveSpecies,N1,Event_ID,Evt_ID,E_ID
Event_Notes,column,KlamathInvasiveSpecies,N1,Event_Notes,Evt_Notes,E_Nts
Enum_Code,column,KlamathInvasiveSpecies,N2,enumeration_code,Enum_Code,EC
Enum_Description,column,KlamathInvasiveSpecies,N2,enumeration_description,Enum_Description,EDesc
tbl_Event_Details,table,KlamathInvasiveSpecies,N2,table_Event_Details,tbl_Event_Details,EDtl
Enum_Group,column,KlamathInvasiveSpecies,N2,category_lookup,Enum_Group,EG
tbl_Edit_Log,table,KlamathInvasiveSpecies,N1,table_Edit_Log,tbl_EdLog,EL
Elevation,column,KlamathInvasiveSpecies,N1,Elevation,Elev,Elv
End_Time,column,KlamathInvasiveSpecies,N1,End_Time,End_Tm,En_Tm
EPE,column,KlamathInvasiveSpecies,N3,estimated_position_error,Est_Posn_err,EPE
Est_H_Error,column,KlamathInvasiveSpecies,N3,estimated_horizontal_gps_error,EstHorizError,Est_H_Error
Evergreen,column,KlamathInvasiveSpecies,N1,Evergreen,Evergrn,Evgn
tbl_Events,table,KlamathInvasiveSpecies,N2,table_Events,tbl_Events,Evs
First_Name,column,KlamathInvasiveSpecies,N1,First_Name,Fst_Nm,F_Nm
Field,column,KlamathInvasiveSpecies,N1,Field,Fld,fd
GIS_Location_ID,column,KlamathInvasiveSpecies,N2,Geographic_Info_System_Location_ID,GIS_Location_ID,GLocID
GPSUnit,column,KlamathInvasiveSpecies,N2,global_positioning_system_unit,GPSUnit,GPSU
