native_identifier,table_or_column,source_database,native_naturalness,N1_identifier,N2_identifier,N3_identifier
BatteryA_from,column,NTSB,N2,BatteryAmps_from,BatteryA_from,AB_f
BatteryA_to,column,NTSB,N2,BatteryAmps_to,BatteryA_to,AB_t
AIRBAG,table,NTSB,N1,AIRBAG,AIRBG,ABG
AirBagLocCurtain,column,NTSB,N2,AirBagLocationCurtain,AirBagLocCurtain,AbgLocCtn
AirBagLocCurtainId,column,NTSB,N2,AirBagLocationCurtainId,AirBagLocCurtainId,AbgLocCtnId
AirBagLocFront,column,NTSB,N2,AirBagLocationFront,AirBagLocFront,AbgLocFnt
AirBagLocFrontId,column,NTSB,N2,AirBagLocationFrontId,AirBagLocFrontId,AbgLocFntId
AirBagLocKnee,column,NTSB,N2,AirBagLocationKnee,AirBagLocKnee,AbgLocKn
AirBagLocKneeId,column,NTSB,N2,AirBagLocationKneeId,AirBagLocKneeId,AbgLocKnId
AirBagLocSide,column,NTSB,N2,AirBagLocationSide,AirBagLocSide,AbgLocSd
AirBagLocSideId,column,NTSB,N2,AirBagLocationSideId,AirBagLocSideId,AbgLocSdId
AirBagLocSeatCushion,column,NTSB,N2,AirBagLocationSeatCushion,AirBagLocSeatCushion,AbgLocStCsh
AirBagLocSeatCushionId,column,NTSB,N2,AirBagLocationSeatCushionId,AirBagLocSeatCushionId,AbgLocStCshId
AntilockBrakeSystem,column,NTSB,N1,AntilockBrakeSystem,AntLkBrakeSys,ABS
AntilockBrakeSystemId,column,NTSB,N1,AntilockBrakeSystemId,AntLkBrakeSysID,ABS_ID
AutomaticCrashNotification,column,NTSB,N1,AutomaticCrashNotification,AutoCrshNotif,ACrshNt
AutomaticCrashNotificationId,column,NTSB,N1,AutomaticCrashNotificationId,AutoCrshNotifID,ACrshNtId
ACTIVATE,column,NTSB,N1,ACTIVATE,ACTVT,ACT
ActiveSafetySysNote,column,NTSB,N2,ActiveSafetySystemNote,ActiveSafetySysNote,ActvSftySyNt
ADAPT,column,NTSB,N1,ADAPT,ADPT,AD
ADAPTEQUIP,column,NTSB,N2,ADAPTIVE_EQUIPMENT_PRESENT,ADAPTEQUIP,ADAP_EQ
ADAPT,table,NTSB,N1,ADAPT,ADPT,ADP
AdaptiveDrivingBeam,column,NTSB,N1,AdaptiveDrivingBeam,AdaptvDrvngBm,AdpBm
AdaptiveDrivingBeamId,column,NTSB,N1,AdaptiveDrivingBeamId,AdaptvDrvngBmID,AdpBmID
AdaptiveCruiseControl,column,NTSB,N1,AdaptiveCruiseControl,AdaptvCrsCntrl,AdpCrs
AdaptiveCruiseControlId,column,NTSB,N1,AdaptiveCruiseControlId,AdaptvCrsCntrlID,AdpCrsID
AGE,column,NTSB,N1,AGE,AGE,AGE
AIS,column,NTSB,N3,ABBREVIATED_INJURY_SCALE,ABRV_INJ_SCL,AIS
