native_identifier,table_or_column,source_database,native_naturalness,N1_identifier,N2_identifier,N3_identifier
ABSENT_COUNT,column,NYSED_SRC2022,N2,Absent_Student_Count,ABSENT_COUNT,ABS_CNT
ACC_EM_Chronic_Absenteeism,table,NYSED_SRC2022,N2,Accountability_Elementary_Chronic_Absenteeism,ACC_EM_Chronic_Absenteeism,ACCEMCA
ACC_EM_Core_and_Weighted_Performance,table,NYSED_SRC2022,N2,Accountability_Elementary_Core_and_Weighted_Performance,ACC_EM_Core_and_Weighted_Performance,AECWP
ACC_EM_ELP,table,NYSED_SRC2022,N3,Accountability_Elementary_English_Language_Program,ACC_EM_ELP,ACC_EM_ELP
ACC_EM_NYSESLAT_for_Participation,table,NYSED_SRC2022,N3,Accountability_Elementary_New_York_State_English_As_a_Second_Language_Test_Participation,ACC_EM_NYSESLAT_for_Participation,ACC_EM_NYSESLAT_for_Participation
ACC_EM_Participation_Rate,table,NYSED_SRC2022,N2,Accountability_Elementary_Participation_Rate,ACC_EM_Participation_Rate,ACC_EM_Participation_Rate
ACC_HS_Chronic_Absenteeism,table,NYSED_SRC2022,N2,Accountability_High_School_Chronic_Absenteeism,ACC_HS_Chronic_Absenteeism,ACC_HS_Chronic_Absenteeism
ACC_HS_Core_and_Weighted_Performance,table,NYSED_SRC2022,N2,Accountability_High_School_Core_Weighted_Performance,ACC_HS_Core_and_Weighted_Performance,ACC_HS_Core_and_Weighted_Performance
ACC_HS_ELP,table,NYSED_SRC2022,N3,Accountability_High_School_English_Language_Program,ACC_HS_ELP,ACC_HS_ELP
ACC_HS_Graduation_Rate,table,NYSED_SRC2022,N2,Accountability_High_School_Graduation_Rate,ACC_HS_Graduation_Rate,ACC_HS_Graduation_Rate
ACC_HS_Participation_Rate,table,NYSED_SRC2022,N2,Accountability_High_School_Participation_Rate,ACC_HS_Participation_Rate,ACC_HS_Participation_Rate
Accountability_Levels,table,NYSED_SRC2022,N1,Accountability_Levels,Accountability_Levels,Accountability_Levels
Accountability_Status,table,NYSED_SRC2022,N1,Accountability_Status,Accountability_Status,Accountability_Status
Accountability_Status_by_Subgroup,table,NYSED_SRC2022,N1,Accountability_Status_by_Subgroup,Accountability_Status_by_Subgroup,Accountability_Status_by_Subgroup
Annual_EM_ELA,table,NYSED_SRC2022,N2,Annual_Elementary_English_Language_Arts,Annual_EM_ELA,Annual_EM_ELA
Annual_EM_MATH,table,NYSED_SRC2022,N2,Annual_Elementary_Math,Annual_EM_MATH,Annual_EM_MATH
Annual_EM_SCIENCE,table,NYSED_SRC2022,N2,Annual_Elementary_Science,Annual_EM_SCIENCE,Annual_EM_SCIENCE
Annual_NYSAA,table,NYSED_SRC2022,N2,Annual_New_York_State_Alternate_Assessment,Annual_NYSAA,Annual_NYSAA
Annual_NYSESLAT,table,NYSED_SRC2022,N3,Annual_New_York_State_English_As_a_Second_Language_Test,Annual_NYSESLAT,Annual_NYSESLAT
Annual_Regents_Exams,table,NYSED_SRC2022,N1,Annual_Regents_Exams,Annual_Regents_Exams,Annual_Regents_Exams
OVERRIDE_CORE,column,NYSED_SRC2022,N2,APPEAL_OVERRIDE_CORE,OVERRIDE_CORE,OC
ASSMNT_FLAG,column,NYSED_SRC2022,N2,Assessment_Flag,ASSMNT_FLAG,ASS_FLG
ASSESSMENT_NAME,column,NYSED_SRC2022,N1,ASSESSMENT_NAME,ASMT_NAME,ASN
BENCHMARK,column,NYSED_SRC2022,N1,BENCHMARK,Benchmk,BMK
BOCES_and_N/RC,table,NYSED_SRC2022,N3,Board_of_Cooperative_Educational_Services,BOCES_and_N/RC,BOCES_and_N/RC
BOCES_CD,column,NYSED_SRC2022,N2,Board_of_Cooperative_Educational_Services_Code,BOCES_CD,BOCES_C
BOCES_NAME,column,NYSED_SRC2022,N3,Board_Of_Cooperative_Educational_Services_Name,Brd_of_Coop_Ed_Svs_NAME,BOCES_NAME
MEMBERSHIP_DESC,column,NYSED_SRC2022,N2,Calendar_Year_Graduation,MEMBERSHIP_DESC,MbrDesc
ABSENT_RATE,column,NYSED_SRC2022,N2,Chronic_Absenteeism_Rate,ABSENT_RATE,ABS_R
COHORT,column,NYSED_SRC2022,N1,COHORT,Cohrt,Coh
COHORT_COUNT,column,NYSED_SRC2022,N1,COHORT_COUNT,Cohrt_Cnt,CC
COHORT_LEVEL,column,NYSED_SRC2022,N1,COHORT_LEVEL,Cohrt_Lvl,ChLv
CORE_COHORT,column,NYSED_SRC2022,N2,CORE_COHORT,CORE_COHORT,CrCh
CORE_INDEX,column,NYSED_SRC2022,N1,CORE_INDEX,CR_IDX,CI
CORE_LEVEL,column,NYSED_SRC2022,N1,CORE_LEVEL,CR_LVL,CL
COUNTY_CD,column,NYSED_SRC2022,N2,County_Code,COUNTY_CD,CT_CD
COUNTY_NAME,column,NYSED_SRC2022,N1,COUNTY_NAME,CNTY_NM,CT_NM
DATA_REPORTED_ENR,column,NYSED_SRC2022,N2,data_reported_enrollment,DATA_REPORTED_ENR,DR_ENR
DATA_REPORTED_EXP,column,NYSED_SRC2022,N2,data_reporting_expenditure,DATA_REPORTED_EXP,DR_EXP
DATA_REP_FLAG,column,NYSED_SRC2022,N2,Data_Reporting_Flag,DATA_REP_FLAG,DRF
definition,column,NYSED_SRC2022,N1,definition,defnt,def
diagram_id,column,NYSED_SRC2022,N1,diagram_id,dgrm_id,DgId
DISTRICT_CD,column,NYSED_SRC2022,N2,District_Code,DISTRICT_CD,DST_CD
DISTRICT_NAME,column,NYSED_SRC2022,N1,DISTRICT_NAME,DSTRCT_NM,DST_NM
ELL_COUNT,column,NYSED_SRC2022,N3,English_Language_Learner_Count,Eng_Lang_Learn_COUNT,ELL_COUNT
ENROLLMENT,column,NYSED_SRC2022,N1,ENROLLMENT,ENRLMNT,ENR
ENTITY_CD,column,NYSED_SRC2022,N2,Entity_Code,ENTITY_CD,ENT_CD
ENTITY_NAME,column,NYSED_SRC2022,N2,Entity_Name,ENTITY_NAME,EN
EXEMPT,column,NYSED_SRC2022,N1,EXEMPT,EXMPT,EX
Expenditures_per_Pupil,table,NYSED_SRC2022,N1,Expenditures_per_Pupil,Expenditures_per_Pupil,EPP
FED_STATE_LOCAL_EXP,column,NYSED_SRC2022,N2,Federal_and_State_Local_Expenditures,FED_STATE_LOCAL_EXP,FSL_EXP
FEDERAL_EXP,column,NYSED_SRC2022,N2,Federal_Expenditures,FEDERAL_EXP,FED_EXP
GRAD_COUNT,column,NYSED_SRC2022,N2,Graduated_Student_Count,GRAD_COUNT,GC
GRAD_RATE,column,NYSED_SRC2022,N2,Graduation_Rate,GRAD_RATE,GRD_RT
GROUP_CODE,column,NYSED_SRC2022,N1,GROUP_CODE,Grp_Cd,G_Cd
GROUP_NAME,column,NYSED_SRC2022,N1,GROUP_NAME,Grp_Nm,G_Nm
INDICATOR,column,NYSED_SRC2022,N1,INDICATOR,INDCTR,IND
Inexperienced_Teachers_and_Principals,table,NYSED_SRC2022,N1,Inexperienced_Teachers_and_Principals,Inexperienced_Teachers_and_Principals,ITP
Institution_Grouping,table,NYSED_SRC2022,N1,Institution_Grouping,Institution_Grouping,IG
INSTITUTION_ID,column,NYSED_SRC2022,N1,INSTITUTION_ID,INSTN_ID,IN_ID
LEVEL,column,NYSED_SRC2022,N1,LEVEL,LEVL,LVL
LEVEL1_%TESTED,column,NYSED_SRC2022,N1,LEVEL1_%TESTED,LVL1_%TSTD,L1_Tst
LEVEL2_%TESTED,column,NYSED_SRC2022,N1,LEVEL2_%TESTED,LVL2_%TSTD,L2_Tst
LEVEL4_%TESTED,column,NYSED_SRC2022,N1,LEVEL4_%TESTED,LVL4_%TSTD,L4_Tst
LEVEL5_%TESTED,column,NYSED_SRC2022,N1,LEVEL5_%TESTED,L5_TST,L5_Tst
MADE_PROGRESS,column,NYSED_SRC2022,N1,MADE_PROGRESS,MD_PRGS,MP
MADE_PROGRESS_FLAG,column,NYSED_SRC2022,N1,MADE_PROGRESS_FLAG,MAD_PRGRS_FLG,MPF
MEAN_SCORE,column,NYSED_SRC2022,N2,Mean_Student_Score,MEAN_SCORE,MS
MET_95_PERCENT,column,NYSED_SRC2022,N1,MET_95_PERCENT,MET_95PCT,M95P
name,column,NYSED_SRC2022,N1,name,nm,n
NEEDS_INDEX,column,NYSED_SRC2022,N1,NEEDS_INDEX,NDS_IDX,NI
NYSESLAT_PART,column,NYSED_SRC2022,N3,New_York_State_English_As_a_Second_Language_Test_Participation,NYStatEngSecLangAsmtTsts_PART,NYSESLAT_PART
LEVEL2_%COHORT,column,NYSED_SRC2022,N2,LEVEL2_PERCENT_COHORT,LEVEL2_%COHORT,L2_CHT
LEVEL3_%COHORT,column,NYSED_SRC2022,N2,LEVEL3_PERCENT_COHORT,LEVEL3_%COHORT,L3_CHT
PER_PRINC_HIGH,column,NYSED_SRC2022,N2,PERCENT_INEXPERIENCED_PRINCIPALS_HIGH_POVERTY,PER_PRINC_HIGH,PPH
PER_PRINC_LOW,column,NYSED_SRC2022,N2,PERCENT_INEXPERIENCED_PRINCIPALS_LOW_POVERTY,PER_PRINC_LOW,PPL
NOT_TESTED,column,NYSED_SRC2022,N1,NOT_TESTED,NT_TSTD,NT_Tst
NUM_TEACH,column,NYSED_SRC2022,N2,NUM_TEACH,NUM_TEACH,NTch
NUM_TESTED,column,NYSED_SRC2022,N1,NUM_TESTED,Num_Tstd,NTst
NYS_PVT_4_YR_CNT,column,NYSED_SRC2022,N3,Number_of_high_school_graduates_enrolled_at_NYS_private_four_year_postsecondary_institution,CNT_ENR_NY_ST_PRIVT_4YR_INST,NYS_PVT_4_YR_CNT
NYS_PUB_2_YR_CNT,column,NYSED_SRC2022,N3,Number_of_NYS_Public_2_Year_Count,CNT_ENR_NY_ST_PUBL_2YR_INST,NYS_PUB_2_YR_CNT
NYS_PUB_4_YR_CNT,column,NYSED_SRC2022,N3,Number_of_NYS_Public_4_Year_Count,CNT_ENR_NY_ST_PUBL_4YR_INST,NYS_PUB_4_YR_CNT
NUM_PRINC_HIGH,column,NYSED_SRC2022,N2,Number_of_Principal_High_School,NUM_PRINC_HIGH,NPH
NUM_PRINC_INEXP,column,NYSED_SRC2022,N2,Number_of_principal_inexperience,NUM_PRINC_INEXP,NPI
NUM_PRINC,column,NYSED_SRC2022,N2,Number_of_Principals,NUM_PRINC,NPn
NUM_EXEMPT_NTEST,column,NYSED_SRC2022,N2,Number_of_students_exempt_no_valid_score,NUM_EXEMPT_NTEST,NEN
NUM_COM,column,NYSED_SRC2022,N2,Number_of_students_scoring_at_Commanding_Level,NUM_COM,N_CO
NUM_EMER,column,NYSED_SRC2022,N2,Number_of_students_scoring_at_Emerging_Level,NUM_EMER,N_EM
NUM_TRAN,column,NYSED_SRC2022,N2,Number_of_students_scoring_at_Transitioning_Level,NUM_TRAN,N_TR
NUM_ENT,column,NYSED_SRC2022,N2,Number_of_students_scoring_Entering_Level,NUM_ENT,N_EN
NUM_EXP,column,NYSED_SRC2022,N2,Number_of_students_scoring_Expanding_Level,NUM_EXP,N_EX
LEVEL1_COUNT,column,NYSED_SRC2022,N2,Number_of_students_scoring_Level_1,LEVEL1_COUNT,L1_CNT
LEVEL2_COUNT,column,NYSED_SRC2022,N2,Number_of_students_scoring_Level_2,LEVEL2_COUNT,L2_CNT
