native_identifier,table_or_column,source_database,native_naturalness,N1_identifier,N2_identifier,N3_identifier
Author_email,column,NorthernPlainsFireManagement,N1,Author_email,Authr_eml,A_eml
Accuracy_Notes,column,NorthernPlainsFireManagement,N1,Accuracy_Notes,Acc_Notes,A_Nt
Association_observed,column,NorthernPlainsFireManagement,N1,Association_observed,Assoc_obs,A_obs
Author_org,column,NorthernPlainsFireManagement,N2,Author_organization_nps_unit_code,Author_org,A_Org
Author_org_name,column,NorthernPlainsFireManagement,N2,Author_organization_name,Author_org_name,A_Org_nm
Author_phone,column,NorthernPlainsFireManagement,N1,Author_phone,Authr_Phn,A_Phn
Activity,column,NorthernPlainsFireManagement,N1,Activity,Actvty,Act
Agriculture,column,NorthernPlainsFireManagement,N1,Agriculture,Agrcltr,Ag
A_Horizon,column,NorthernPlainsFireManagement,N2,depth_a_horizon,A_Horizon,AHor
Aspect,column,NorthernPlainsFireManagement,N1,Aspect,Aspct,Asp
Author,column,NorthernPlainsFireManagement,N1,Author,Authr,Atr
Bug_ID,column,NorthernPlainsFireManagement,N1,Bug_ID,Bg_ID,B_ID
Backup_prompt_exit,column,NorthernPlainsFireManagement,N1,Backup_prompt_exit,Bkp_Prompt_Exit,BPE
Backup_prompt_startup,column,NorthernPlainsFireManagement,N1,Backup_prompt_startup,Bckup_prmpt_strtup,BPS
Crew_Members,column,NorthernPlainsFireManagement,N1,Crew_Members,Crew_Mbrs,C_Mem
CanPos,column,NorthernPlainsFireManagement,N3,canopy_position,CanopyPos,CanPos
CanPos_Num,column,NorthernPlainsFireManagement,N3,CanopyPositionNumber,CanPos_Number,CanPos_Num
Compact_be_exit,column,NorthernPlainsFireManagement,N2,compact_backend_exit,Compact_be_exit,CBE
CoverClass_Text,column,NorthernPlainsFireManagement,N1,CoverClass_Text,CoverClass_Txt,CC_Txt
CoverClass_Num,column,NorthernPlainsFireManagement,N2,CoverClass_Number,CoverClass_Num,CCN
CommonName,column,NorthernPlainsFireManagement,N1,CommonName,Cmn_Name,CmNm
Condition,column,NorthernPlainsFireManagement,N1,Condition,Condt,Cnd
tlu_Can_Pos,table,NorthernPlainsFireManagement,N2,table_lookup_Canopy_Position,tlu_Can_Pos,CnP
Cond_Num,column,NorthernPlainsFireManagement,N2,condition_number,Cond_Num,CNum
CanPos_Name,column,NorthernPlainsFireManagement,N2,CanopyPositionName,CanPos_Name,CPN
Coord_Units,column,NorthernPlainsFireManagement,N2,coordinate_units,Coord_Units,CrdUnts
Coord_System,column,NorthernPlainsFireManagement,N2,coordinate_system,Coord_System,CS
Cond_Text,column,NorthernPlainsFireManagement,N2,condition_text,Cond_Text,CTxt
County,column,NorthernPlainsFireManagement,N1,County,Cnty,Cty
tlu_Cover_Cls,table,NorthernPlainsFireManagement,N2,table_lookup_Cover_Class,tlu_Cover_Cls,CvCl
Cover,column,NorthernPlainsFireManagement,N1,Cover,Covr,Cvr
Data_ID,column,NorthernPlainsFireManagement,N1,Data_ID,Dat_ID,D_ID
Database_title,column,NorthernPlainsFireManagement,N1,Database_title,DB_Title,DB_Ttl
DBH,column,NorthernPlainsFireManagement,N3,DiameterBreastHeight,DiamBrstHt,DBH
DClass1,column,NorthernPlainsFireManagement,N3,DiameterClass1,DiamClass1,DClass1
DClass2,column,NorthernPlainsFireManagement,N3,DiameterClass2,DiamClass2,DClass2
DClass3,column,NorthernPlainsFireManagement,N3,DiameterClass3,DiamClass3,DClass3
DClass4,column,NorthernPlainsFireManagement,N3,DiameterClass4,DiamClass4,DClass4
DecayStage_Descr,column,NorthernPlainsFireManagement,N2,decay_stage_description,DecayStage_Descr,DcStgDescr
Decay,column,NorthernPlainsFireManagement,N1,Decay,Decy,Dcy
tlu_DecayStage,table,NorthernPlainsFireManagement,N2,table_lookup_DecayStage,tlu_DecayStage,DcyStg
definition,column,NorthernPlainsFireManagement,N1,definition,defn,def
diagram_id,column,NorthernPlainsFireManagement,N1,diagram_id,dgrm_id,DgId
Directions,column,NorthernPlainsFireManagement,N1,Directions,Dirctns,Dir
Datum,column,NorthernPlainsFireManagement,N1,Datum,Dtm,Dm
Density,column,NorthernPlainsFireManagement,N1,Density,Dnsty,Dns
DecayStage_ID,column,NorthernPlainsFireManagement,N1,DecayStage_ID,DcyStg_ID,DS_ID
tbl_Deadwood,table,NorthernPlainsFireManagement,N2,table_Deadwood,tbl_Deadwood,DWood
Event_Date,column,NorthernPlainsFireManagement,N1,Event_Date,Evt_Dt,E_Dt
Event_ID,column,NorthernPlainsFireManagement,N1,Event_ID,Evt_ID,E_ID
Eco_Notes,column,NorthernPlainsFireManagement,N2,ecological_notes,Eco_Notes,E_Nt
Event_Notes,column,NorthernPlainsFireManagement,N1,Event_Notes,Evt_Notes,E_Nts
Elevation,column,NorthernPlainsFireManagement,N1,Elevation,Elev,Elv
Est_H_Error,column,NorthernPlainsFireManagement,N3,estimated_horizontal_error,Est_Horiz_error,Est_H_Error
tbl_Events,table,NorthernPlainsFireManagement,N2,table_Events,tbl_Events,Evs
Fire,column,NorthernPlainsFireManagement,N1,Fire,Fr,F
Found_by,column,NorthernPlainsFireManagement,N1,Found_by,Foun_By,Fnd_by
Fixed_by,column,NorthernPlainsFireManagement,N1,Fixed_by,Fxd_by,Fx_by
Fix_details,column,NorthernPlainsFireManagement,N1,Fix_details,Fix_det,F_Det
Fix_date,column,NorthernPlainsFireManagement,N1,Fix_date,Fx_dt,F_dt
File_name,column,NorthernPlainsFireManagement,N1,File_name,File_nm,F_nm
GIS_Location_ID,column,NorthernPlainsFireManagement,N2,geographic_information_system_location_id,GIS_Location_ID,GLocID
genus,column,NorthernPlainsFireManagement,N1,genus,gens,gns
Hogs,column,NorthernPlainsFireManagement,N1,Hogs,Hgs,Hg
ID,column,NorthernPlainsFireManagement,N2,identifier,identf,ID
Litter_depth,column,NorthernPlainsFireManagement,N1,Litter_depth,Ltr_Depth,L_Dp
Location_ID,column,NorthernPlainsFireManagement,N1,Location_ID,Loc_ID,L_ID
Loc_Notes,column,NorthernPlainsFireManagement,N2,location_notes,Loc_Notes,L_Nt
Logging,column,NorthernPlainsFireManagement,N1,Logging,Lggng,Lgg
Link_file_path,column,NorthernPlainsFireManagement,N1,Link_file_path,Lnk_file_pth,Lk_Fp
Length,column,NorthernPlainsFireManagement,N1,Length,Len,Ln
tbl_Locations,table,NorthernPlainsFireManagement,N2,table_Locations,tbl_Locations,Locs
ListedName,column,NorthernPlainsFireManagement,N1,ListedName,Lsted_Nm,LstNm
tlu_Live_Dead,table,NorthernPlainsFireManagement,N2,table_Live_Dead,tlu_Live_Dead,LvDd
Layer,column,NorthernPlainsFireManagement,N1,Layer,Layr,Lyr
tlu_Mod_Num,table,NorthernPlainsFireManagement,N2,table_lookup_Module_Number,tlu_Mod_Num,Md_N
Module,column,NorthernPlainsFireManagement,N1,Module,Modl,Mdl
Mod_Num,column,NorthernPlainsFireManagement,N2,module_number,Mod_Num,MN
MPD,column,NorthernPlainsFireManagement,N3,MidpointDiameter,MidPtDiam,MPD
Nest_ID,column,NorthernPlainsFireManagement,N1,Nest_ID,Nst_ID,N_ID
name,column,NorthernPlainsFireManagement,N1,name,Nam,nm
tbl_Nests,table,NorthernPlainsFireManagement,N2,table_Nests,tbl_Nests,Nsts
notes,column,NorthernPlainsFireManagement,N1,notes,nts,Nt
Other_Disturbance,column,NorthernPlainsFireManagement,N1,Other_Disturbance,Oth_Disturb,O_Dist
Overstory_ID,column,NorthernPlainsFireManagement,N1,Overstory_ID,Ovrstry_ID,O_ID
OldPlot,column,NorthernPlainsFireManagement,N1,OldPlot,OldPlt,O_Plt
tbl_Overstory,table,NorthernPlainsFireManagement,N2,table_Overstory,tbl_Overstory,Ovrstry
Plot,column,NorthernPlainsFireManagement,N1,Plot,Plt,P
Plot_Azimuth,column,NorthernPlainsFireManagement,N1,Plot_Azimuth,Plt_Azim,P_Az
Pine_beetle,column,NorthernPlainsFireManagement,N1,Pine_beetle,Pn_Btl,P_Btl
Presence_First,column,NorthernPlainsFireManagement,N1,Presence_First,Pres_Frst,P_Fst
Plot_ID,column,NorthernPlainsFireManagement,N1,Plot_ID,Plt_ID,Pl_ID
principal_id,column,NorthernPlainsFireManagement,N1,principal_id,prncpl_id,pr_id
Presence_Second,column,NorthernPlainsFireManagement,N1,Presence_Second,Prsnc_Sec,P_Sec
Project,column,NorthernPlainsFireManagement,N1,Project,Prjct,Pjt
Park,column,NorthernPlainsFireManagement,N1,Park,Prk,Pk
tlu_PlaceNames,table,NorthernPlainsFireManagement,N2,table_PlaceNames,tlu_PlaceNames,PlNm
tlu_PlantSpecies,table,NorthernPlainsFireManagement,N2,table_lookup_PlantSpecies_list,tlu_PlantSpecies,PlSpc
PlaceNameID,column,NorthernPlainsFireManagement,N1,PlaceNameID,PlcNmID,PNID
Pres_Num,column,NorthernPlainsFireManagement,N2,presence_number,Pres_Num,PNum
tlu_Presence,table,NorthernPlainsFireManagement,N2,table_lookup_presence_number,tlu_Presence,Prs
Pres_Text,column,NorthernPlainsFireManagement,N2,presence_description,Pres_Text,PTxt
QuadName,column,NorthernPlainsFireManagement,N2,USGS_Quadrant_Name,QuadName,QN
Reported_by,column,NorthernPlainsFireManagement,N1,Reported_by,Rptd_by,R_by
Report_details,column,NorthernPlainsFireManagement,N1,Report_details,Rpt_Dtls,R_det
Release_date,column,NorthernPlainsFireManagement,N1,Release_date,Rls_Date,R_Dt
Release_ID,column,NorthernPlainsFireManagement,N1,Release_ID,Rels_ID,R_ID
Release_notes,column,NorthernPlainsFireManagement,N1,Release_notes,Rls_Notes,R_Notes
R1,column,NorthernPlainsFireManagement,N3,presence_class_species_R1,Pres_Cls_Spec_R1,R1
tlu_R1_RestOfPlot,table,NorthernPlainsFireManagement,N2,table_lookup_R1_RestOfPlot,tlu_R1_RestOfPlot,R1ROP
R2,column,NorthernPlainsFireManagement,N3,CoverClass_R2,Cov_Cls_R2,R2
tlu_Roads_and_Trails,table,NorthernPlainsFireManagement,N2,table_lookup_roads_and_trails,tlu_Roads_and_Trails,Rd_Trl
Release_by,column,NorthernPlainsFireManagement,N1,Release_by,Rls_by,Rls_by
Report_date,column,NorthernPlainsFireManagement,N1,Report_date,Rpt_date,Rpt_dt
sysdiagrams,table,NorthernPlainsFireManagement,N1,sysdiagrams,sysdiagrms,s_dgm
Seedlings_ID,column,NorthernPlainsFireManagement,N1,Seedlings_ID,Seedlgs_ID,Sdl_ID
Saplings_ID,column,NorthernPlainsFireManagement,N1,Saplings_ID,Splngs_ID,S_ID
SpeciesNotes,column,NorthernPlainsFireManagement,N1,SpeciesNotes,SpecNotes,S_Notes
Slope_shape,column,NorthernPlainsFireManagement,N1,Slope_shape,Slop_Sh,S_Shp
SpCode,column,NorthernPlainsFireManagement,N2,species_code,Sp_Code,S_C
SpeciesCode,column,NorthernPlainsFireManagement,N1,SpeciesCode,SpCode,SC
SiteDescription,column,NorthernPlainsFireManagement,N1,SiteDescription,SiteDesc,SD
tbl_Seedlings,table,NorthernPlainsFireManagement,N2,table_Seedlings,tbl_Seedlings,Sdlg
subgenus,column,NorthernPlainsFireManagement,N1,subgenus,subgens,sg
Shape,column,NorthernPlainsFireManagement,N1,Shape,Shap,Shp
Slope,column,NorthernPlainsFireManagement,N1,Slope,Slop,Slp
tlu_Slope_Shape,table,NorthernPlainsFireManagement,N2,table_lookup_Slope_Shape,tlu_Slope_Shape,Slp_Shp
species,column,NorthernPlainsFireManagement,N1,species,spec,spcs
tbl_Saplings,table,NorthernPlainsFireManagement,N2,table_Saplings,tbl_Saplings,Spl
SSMA_TimeStamp,column,NorthernPlainsFireManagement,N3,SSMA_TimeStamp,SSMA_TmStmp,SSMA_TimeStamp
subspecies,column,NorthernPlainsFireManagement,N1,subspecies,subspec,sspcs
State,column,NorthernPlainsFireManagement,N1,State,Stat,St
tsys_App_Defaults,table,NorthernPlainsFireManagement,N2,application_table_defaults,tsys_App_Defaults,TAD
tsys_App_Releases,table,NorthernPlainsFireManagement,N2,application_table_application_release_history,tsys_App_Releases,TAR
tsys_Bug_Reports,table,NorthernPlainsFireManagement,N2,application_bug_reports,tsys_Bug_Reports,TBR
TreeCond_Text,column,NorthernPlainsFireManagement,N2,tree_condition_description,TreeCond_Text,TC_Text
TreeCond_Num,column,NorthernPlainsFireManagement,N2,tree_condition_number,TreeCond_Num,TCN
Tag,column,NorthernPlainsFireManagement,N1,Tag,Tg,Tg
tlu_topo_position,table,NorthernPlainsFireManagement,N2,table_lookup_topographic_position,tlu_topo_position,Top_Pos
Topo_Position,column,NorthernPlainsFireManagement,N2,topographic_position,Topo_Position,Tp_Pos
TopoPosition,column,NorthernPlainsFireManagement,N2,topographicPosition,TopoPosition,TpPos
Trail,column,NorthernPlainsFireManagement,N1,Trail,Trl,Tr
tlu_Tree_Cond,table,NorthernPlainsFireManagement,N2,table_lookup_tree_condition,tlu_Tree_Cond,Tr_Cn
TreeCond,column,NorthernPlainsFireManagement,N2,Tree_Condition,TreeCond,TrCond
tbl_Tree_Tags,table,NorthernPlainsFireManagement,N2,table_Tree_Tags,tbl_Tree_Tags,TrTg
TreeTag,column,NorthernPlainsFireManagement,N1,TreeTag,TrTag,TT
Tree_Tag_ID,column,NorthernPlainsFireManagement,N2,tree_tag_identifier,Tree_Tag_ID,TTID
Unit_Code,column,NorthernPlainsFireManagement,N1,Unit_Code,Unt_Cd,U_Cd
Updated_Date,column,NorthernPlainsFireManagement,N1,Updated_Date,Updtd_Dt,U_Date
User_name,column,NorthernPlainsFireManagement,N1,User_name,Usr_nm,U_nm
UTM_Zone,column,NorthernPlainsFireManagement,N2,universal_transverse_mercator_zone,UTM_Zone,UTM_Zn
utmE,column,NorthernPlainsFireManagement,N3,universal_transverse_mercator_easting,utmEast,utmE
utmN,column,NorthernPlainsFireManagement,N3,universal_transverse_mercator_northing,utmNorth,utmN
ValidName,column,NorthernPlainsFireManagement,N1,ValidName,Vld_Nm,V_Nm
Version_number,column,NorthernPlainsFireManagement,N1,Version_number,Vrsn_Num,V_Num
Verify_links_startup,column,NorthernPlainsFireManagement,N1,Verify_links_startup,Vrfy_lnk_strtup,VLS
version,column,NorthernPlainsFireManagement,N1,version,versn,vsn
Witness_Azimuth,column,NorthernPlainsFireManagement,N1,Witness_Azimuth,Wtns_Azmt,W_Az
Witness_stake,column,NorthernPlainsFireManagement,N1,Witness_stake,Wtnss_Stk,W_Stk
Windstorm,column,NorthernPlainsFireManagement,N1,Windstorm,Wndstrm,WdStm
Witness_DBH,column,NorthernPlainsFireManagement,N3,witness_tree_diameter_breast_height,Wtnss_Diam_Brst_Ht,Witness_DBH
Witness_SpCode,column,NorthernPlainsFireManagement,N2,Witnesstree_species_code,Witness_SpCode,WitSpCd
WitnessTree_ID,column,NorthernPlainsFireManagement,N1,WitnessTree_ID,WtnssTree_ID,WT_ID
tbl_WitnessTrees,table,NorthernPlainsFireManagement,N2,table_WitnessTrees,tbl_WitnessTrees,WtnsTrs
X_coord,column,NorthernPlainsFireManagement,N2,x_coordinate,X_coord,X_c
Xcoord,column,NorthernPlainsFireManagement,N2,xCoordinate,Xcoord,Xc
Y_coord,column,NorthernPlainsFireManagement,N2,y_coordinate,Y_coord,Y_c
Yes_No,column,NorthernPlainsFireManagement,N1,Yes_No,Ys_No,Y_N
Ycoord,column,NorthernPlainsFireManagement,N2,YCoordinate,Ycoord,Yc
tlu_Yes_No,table,NorthernPlainsFireManagement,N2,table_lookup_yes_no,tlu_Yes_No,YN
