native_identifier,table_or_column,source_database,native_naturalness,N1_identifier,N2_identifier,N3_identifier
~TMPCLP650861,table,PacificIslandLandbirds,N3,~TMPCLP650861,~TMPCLP650861,~TMPCLP650861
Acc_Notes,column,PacificIslandLandbirds,N2,Accuracy_Notes,Acc_Notes,Ac_Nts
Address,column,PacificIslandLandbirds,N1,Address,Addrs,Adr
Address_Type,column,PacificIslandLandbirds,N1,Address_Type,Addrs_typ,Adr_t
Address2,column,PacificIslandLandbirds,N1,Address2,Addrs2,Adr2
Alternate_Name,column,PacificIslandLandbirds,N1,Alternate_Name,AltName,AltNm
Alternate_Type,column,PacificIslandLandbirds,N1,Alternate_Type,AltType,AltTp
Aspect,column,PacificIslandLandbirds,N1,Aspect,Aspct,Asp
Aspect_Var,column,PacificIslandLandbirds,N2,Aspect_Variance,Aspect_Var,Asp_v
BNA_Account,column,PacificIslandLandbirds,N3,BirdsNorthAmerica_Account,BrdNrthAmer_Account,BNA_Account
Canopy_Comp,column,PacificIslandLandbirds,N1,Canopy_Comp,Canp_Comp,Cn_Cmp
Canopy_Cover,column,PacificIslandLandbirds,N1,Canopy_Cover,Canp_Cvr,Cn_Cv
Canopy_Height,column,PacificIslandLandbirds,N1,Canopy_Height,Canp_ht,Cn_Ht
Ceritified_Data_Update,column,PacificIslandLandbirds,N1,Ceritified_Data_Update,Certified_Data_Upd,C_Dt_U
Certified,column,PacificIslandLandbirds,N1,Certified,Certifd,crt
Certified_by,column,PacificIslandLandbirds,N1,Certified_by,Certif_by,crt_by
Certified_date,column,PacificIslandLandbirds,N1,Certified_date,Certif_dt,crt_dt
City,column,PacificIslandLandbirds,N1,City,Cty,cy
Cloud,column,PacificIslandLandbirds,N1,Cloud,Clou,cl
Common_Name,column,PacificIslandLandbirds,N1,Common_Name,Cmn_Nam,Cm_Nm
Contact_ID,column,PacificIslandLandbirds,N1,Contact_ID,Cont_ID,C_ID
Contact_Notes,column,PacificIslandLandbirds,N1,Contact_Notes,Cont_Notes,C_Nts
Contact_Role,column,PacificIslandLandbirds,N1,Contact_Role,Cont_Role,C_R
Coord_Syst,column,PacificIslandLandbirds,N2,Coordinate_System,Coord_Syst,Co_Sys
Coord_Units,column,PacificIslandLandbirds,N2,Coordinate_Unites,Coord_Units,Co_Unt
Coord_upd,column,PacificIslandLandbirds,N2,Coordinate_Update,Coord_upd,Co_up
Country,column,PacificIslandLandbirds,N1,Country,Cnty,Cty
Datum,column,PacificIslandLandbirds,N1,Datum,Datm,Dt
DB_Meta_ID,column,PacificIslandLandbirds,N2,DataBase_Meta_ID,DB_Meta_ID,Dm_ID
definition,column,PacificIslandLandbirds,N1,definition,Defntn,Dfn
Density_ID,column,PacificIslandLandbirds,N1,Density_ID,Dens_ID,Dst_ID
Detection,column,PacificIslandLandbirds,N1,Detection,Detctn,Det
Detection_ID,column,PacificIslandLandbirds,N1,Detection_ID,Det_ID,Dt_ID
diagram_id,column,PacificIslandLandbirds,N1,diagram_id,diag_ID,D_ID
Distance,column,PacificIslandLandbirds,N1,Distance,Distnc,Dst
Email_Address,column,PacificIslandLandbirds,N1,Email_Address,Email_Addrs,E_Adr
End_Time,column,PacificIslandLandbirds,N1,End_Time,End_Tm,E_T
Entered_by,column,PacificIslandLandbirds,N1,Entered_by,Enrtd_bdy,E_By
Entered_date,column,PacificIslandLandbirds,N1,Entered_date,Entrd_dt,E_dt
Enum_Code,column,PacificIslandLandbirds,N2,Enumeration_Code,Enum_Code,E_code
Enum_Description,column,PacificIslandLandbirds,N2,Enumeration_Description,Enum_Description,E_des
Enum_Group,column,PacificIslandLandbirds,N2,Enumeration_Group,Enum_Group,E_G
Est_H_Error,column,PacificIslandLandbirds,N3,Estimated_Horizontal_Error,Est_Horiz_Error,Est_H_Error
Event_Details_ID,column,PacificIslandLandbirds,N1,Event_Details_ID,Evnt_Det_ID,Ev_dt_ID
Event_ID,column,PacificIslandLandbirds,N1,Event_ID,Evnt_ID,Ev_ID
