native_identifier,table_or_column,source_database,native_naturalness,N1_identifier,N2_identifier,N3_identifier
_Bottom,column,SBODemoUS,N1,_Bottom,_Btm,_Btm
_Height,column,SBODemoUS,N1,_Height,_Ht,_Ht
_Left,column,SBODemoUS,N1,_Left,_Lft,_Lft
_Top,column,SBODemoUS,N1,_Top,_Tp,_Tp
OneBOneRec,column,SBODemoUS,N2,one_batch_one_receipt,OneBOneRec,1B1R
Alert,column,SBODemoUS,N1,Alert,Alrt,Alt
AREA,column,SBODemoUS,N1,AREA,Ar,A
AcctCode,column,SBODemoUS,N2,account_code,AcctCode,A_Cd
ActCurr,column,SBODemoUS,N2,account_currency,ActCurr,A_Cr
AcctDesc,column,SBODemoUS,N2,account_description,AcctDesc,A_Ds
ActivityID,column,SBODemoUS,N1,ActivityID,ActID,A_ID
AddressId,column,SBODemoUS,N1,AddressId,AddrId,Add_Id
ADD_NAME,column,SBODemoUS,N1,ADD_NAME,Add_Nm,Add_Nm
AgentName,column,SBODemoUS,N1,AgentName,Agt_Name,Ag_Nm
ActType,column,SBODemoUS,N2,account_type,ActType,A_Typ
Address2,column,SBODemoUS,N1,Address2,Addr2,Add2
AssetAmnt2,column,SBODemoUS,N2,asset_amount_2,AssetAmnt2,AA2
Address2B,column,SBODemoUS,N2,address_name_2B,Address2B,Add2B
Address2S,column,SBODemoUS,N2,address_name_2S,Address2S,Add2S
ActAddCost,column,SBODemoUS,N2,actual_additional_cost,ActAddCost,AAC
AAC1,table,SBODemoUS,N3,asset_classes_depreciation_areas_history,asst_cls_depr_areas_hist,AAC1
AppreAcc,column,SBODemoUS,N2,accumulated_appreciation,AppreAcc,AAcc
AcqAcct,column,SBODemoUS,N2,acquisition_tax_account,AcqAcct,AcAct
AllocAcct,column,SBODemoUS,N2,allocation_cash_account,AllocAcct,AAcct
AACP,table,SBODemoUS,N3,periods_category_log,prd_ctg_log,AACP
AACS,table,SBODemoUS,N3,asset_classes_history,Asst_Cls_Hist,AACS
AACT,table,SBODemoUS,N3,general_ledger_account_history,gl_acct_hist,AACT
AADT,table,SBODemoUS,N3,fixed_assets_account_determination_history,fxd_ast_acct_det_hist,AADT
AddiAmnt,column,SBODemoUS,N2,additional_amount,AddiAmnt,AAmt
AutoBatch,column,SBODemoUS,N1,AutoBatch,ABatch,Abch
AssignedBy,column,SBODemoUS,N1,AssignedBy,AsndBy,AB
ActBPrCost,column,SBODemoUS,N2,actual_by_product_cost,ActBPrCost,ABC
AllocBinC,column,SBODemoUS,N2,allocated_bin_location_count,AllocBinC,ABLC
ActBaseEnt,column,SBODemoUS,N2,actual_base_document_entry,ActBaseEnt,ABDE
AltBaseEnt,column,SBODemoUS,N2,alteration_base_entry,AltBaseEnt,ABE
AdBoardId,column,SBODemoUS,N1,AdBoardId,AdBrdId,ABId
ActBaseLn,column,SBODemoUS,N2,actual_base_line,ActBaseLn,ABL
ActBaseNum,column,SBODemoUS,N2,actual_base_document_number,ActBaseNum,ABN
ABARoutNum,column,SBODemoUS,N2,aba_routing_number,ABARoutNum,ABRN
ActBasSubL,column,SBODemoUS,N2,actual_base_subline,ActBasSubL,ABS
ActBaseTp,column,SBODemoUS,N2,actual_base_type,ActBaseTp,ActBT
AltBaseTyp,column,SBODemoUS,N2,alteration_base_type,AltBaseTyp,ABT
AddBTF,column,SBODemoUS,N2,add_journal_vouchers,AddBTF,ABTF
ActionCode,column,SBODemoUS,N1,ActionCode,ActnCode,Acd
AddiCurr,column,SBODemoUS,N2,additional_amount_currency,AddiCurr,AdCr
AgentCode,column,SBODemoUS,N1,AgentCode,AgntCode,AgCd
AgtCollect,column,SBODemoUS,N2,agent_collection,AgtCollect,AgCl
AssetClass,column,SBODemoUS,N1,AssetClass,AsstCls,A_cl
AuthCode,column,SBODemoUS,N1,AuthCode,AuthCd,at_cd
AC,column,SBODemoUS,N3,cache_access_counter,cache_acc_cntr,AC
AddCurr1,column,SBODemoUS,N2,additional_default_currency_1,AddCurr1,AC1
AddCurr2,column,SBODemoUS,N2,additional_default_currency_2,AddCurr2,AC2
AlocCstAct,column,SBODemoUS,N2,allocation_account,AlocCstAct,ACA
AutoCalBCG,column,SBODemoUS,N2,auto_calculated_bank_charges,AutoCalBCG,ACBCG
AccInvAP,column,SBODemoUS,N3,accumulated_invoiced_ap,accum_invd_ap,AccInvAP
AccInvAR,column,SBODemoUS,N3,accumulated_invoiced_ar,accum_invd_ar,AccInvAR
AccNegQ,column,SBODemoUS,N3,quantity_out_accumulator,qty_out_accum,AccNegQ
AccOpAmAP,column,SBODemoUS,N3,accumulated_open_amount_ap,accum_open_amt_ap,AccOpAmAP
AccOpAmAR,column,SBODemoUS,N3,accumulated_open_amount_ar,accum_open_amt_ar,AccOpAmAR
AccPhBudg,column,SBODemoUS,N3,accumulated_subproject_budget,accum_subproj_budget,AccPhBudg
