prompt,label,competion-N2,completion-N3
StartDate,N1,StrtDt,s_dt
Origin,N1,Orign,Orgn
FirstName,N1,F_Name,FNM
ChargerLevelId,N1,ChrgLvlID,C_LV_ID
WindDirection,N1,WindDir,W_Dr
Year,N1,Yr,y
EYEWEAR,N1,EyeWr,E_wr
SurfaceWater,N1,Surfc_Wtr,S_wtr
Release_ID,N1,Rels_ID,R_ID
SiteDescription,N1,Site_Descr,S_Dscr
CLASS,N1,Cls,Cl
AdaptiveDrivingBeam,N1,AdaptvDrvngBm,AdpBm
Date,N1,Dat,Dt
CallIndex,N1,Call_Idx,Cl_ix
BELTGUIDE,N1,BLT_GUID,B_GD
City,N1,Cty,cy
Alternate_Name,N1,AltName,AltNm
LOADPATH1_ALT,N1,Ld_Path_alt1,Ld_p_a1
Plot,N1,Plt,p
Metals,N1,Mtls,mt
Station_ID,N1,Stn_ID,S_ID
FUELEAK,N1,FUEL_LK,F_Lk
Lab_ID_Previous,N1,Lab_ID_Prev,LID_P
Revision_Date,N1,Revn_Date,R_dt
BAGSTATUS,N1,BagStat,BG_S
EventID,N1,EvntID,E_ID
Clouds,N1,Clds,Cd
MORTALITY,N1,Mortlty,Mort
EngineElectrificationLevel,N1,EngElectLevel,EngElLvl
MANEUVER,N1,Manvr,Mvr
Group,N1,Grp,G
HABITAT CODES,N1,HABIT_CD,H_CD
BrakeSystemType,N1,Brake_Sys_Typ,B_SYS_T
Paste Errors,N1,Paste_Err,P_err
Value_Old,N1,Val_Old,V_Old
AutoPedestrianAlertingSoundID,N1,AutoPedAlertSoundID,A_PED_ALRT_ID
Superfamily,N1,SuperFam,S_fam
SortID,N1,SrtID,S_ID
VERSION,N1,VERS,V
Condition,N1,Condtn,Cond
Species_Code,N1,Species_Cd,Spec_C
Tag,N1,Tg,T
BAGLOCATION,N1,BagLoc,BG_L
version,N1,vers,v
tluWeather,N1,tluWeath,t_wth
Family,N1,Fam,fm
FACTOR5,N1,FACTR5,FCT_5
NativityDetails,N1,NativityDet,Nat_Det
LandUse,N1,LndUse,L_Us
CHILDSEATNO,N1,CHLDSTNO,C_SN
FILLCAP,N1,FLLCP,F_CP
EngineModel,N1,EngModel,E_Mod
DEATH,N1,DTH,DT
Trap #,N1,Trp#,T_#
CASENUMBER,N1,CaseNum,C_NUM
Date_Change,N1,Dt_Chng,D_Ch
Position_Title,N1,Posn_Title,P_Titl
LATCHTETHER,N1,LTCH_TETH,L_THR
Crosswalk_Initial_Year,N1,Crosswlk_Init_Yr,xWlk_IN_Y
CoverClass,N1,CovClss,C_Cls
FIRE,N1,FR,F
Number Observed,N1,NumObsrvd,N_Obs
Observer,N1,Obsrvr,Obsv
Upload_Date,N1,Upload_Dt,Upl_Dt
MAXWIDTH,N1,MX_WDTH,M_WD
Herb,N1,Hrb,Hb
Invert Order,N1,Invt Ord,I_Ord
Release_by,N1,Rel_By,R_by
ForwardCollisionWarning,N1,FwdCollisWarning,FCWrn
Saplings_ID,N1,Sapl_ID,S_ID
Agency/Title,N1,Agncy/Ttl,Agc_T
Qualifier,N1,Qualfr,Qlr
definition,N1,Defntn,Dfn
BlindSpotInterventionId,N1,BlndSpotIntervntID,BS_Ivn_ID
SnakeID,N1,SnkID,s_ID
Updated_date,N1,Update_dt,U_dt
subspecies,N1,SbSpcs,S_sp
SteeringLocationId,N1,Strng_loc_id,slocID
Weather,N1,Weath,Wx
Subwatershed,N1,SubWtrShd,SWS
Tribe,N1,Trb,Tr
EngineCoolingType,N1,EngCoolingTyp,ECT
LastName,N1,Lname,LNm
GrossCombWeightRatingTo,N1,GrossCbnWtRtngTo,GCWR_T
Sex,N1,Sx,S
BAGTYPE,N1,BagTyp,BG_T
CultivationCode,N1,CultCode,C_Cd
Hogs,N1,Hgs,H
sysdiagrams,N1,SysDiag,S_Diag
RETAINERCLIPUSE,N1,RET_CLIP_USE,RCU
FUELTYPE,N1,FUELTP,F_TP
OldPlot,N1,OldPlt,O_Pl
LaneCenteringAssistance,N1,LnCenteringAssist,LCA
CoverClass_Text,N1,CvrClass_Txt,CC_T
SeatBeltType,N1,StBltTtpe,SBTyp
Superclass,N1,SupClss,S_CLS
ROLLTYPE,N1,ROLL_TYP,R_TP
Reason,N1,Rsn,R
Site_ID,N1,St_ID,S_ID
PARKCODE,N1,PK_CD,P_C
CAUSE1,N1,CSE1,C_1
EngineCoolingTypeId,N1,EngCoolingTypID,ECT_ID
LATCHDESIGN,N1,LtchDesn,L_DES
Month,N1,Mnth,M
StartTime,N1,Stime,S_tm
Rating,N1,Rtng,Rg
Plastron Width,N1,Plastrn_wd,P_Wd
ROLE,N1,RL,R
Revision_Contact_ID,N1,Revn_Contc_ID,Rcon_ID
EngineElectrificationLevelId,N1,EngElectrifictnLvlID,EEL_ID
WEATHER,N1,WEATH,WX
ParkAssist,N1,PkAsst,P_asst
Update_Comments,N1,Updt_Cmmnts,U_cmt
Slide_Position,N1,Slide_pos,s_pos
PlantState,N1,PlntState,P_Stat
tluCaptureMethod,N1,tluCaptMethd,tlu_Cpt_mth
Color,N1,Clr,cl
FuelTypeSecondary,N1,FuelTypSecon,FT_Sec
Plastron Length,N1,Pastron_len,P_len
Crosswalk_Notes,N1,Crsswlk_nts,CW_Nt
SCIENTIFIC NAME,N1,SCIENTFC_NM,SC_NM
Found_by,N1,Fnd_by,F_By
MAKE,N1,MK,M
One_half_meter,N1,One_hlf_mtr,OHM
Phylum,N1,Phlm,Pm
AdaptiveDrivingBeamId,N1,AdaptvDrvngBmID,AdpBmID
Abundance,N1,Abundc,Abnc
AntilockBrakeSystem,N1,AntLkBrakeSys,ABS
AGE,N1,AG,T_A
AbundanceDetails,N1,Abundc_Det,Ab_dt
ACTIVATE,N1,ACTVT,ACT
BAGMALFUNCTION,N1,BagMalfn,BG_M
BAGDAMAGE,N1,BgDmg,B_D
BELTROUT,N1,BLT_ROUT,B_RT
AntilockBrakeSystemId,N1,AntLkBrakeSysID,ABS_ID
Author,N1,Authr,Au_t
BAGFLAPSOPEN,N1,BagFlpOpn,BG_F_O
BELTANCHOR,N1,BLT_ANCH,B_ANC
ADDRESS,N1,ADDRS,ADR
BAGDEPLOY,N1,BgDepl,B_Dep
AxlesCount,N1,AxleCt,Ax_c
Aspect,N1,Aspct,T_As
AbundanceText,N1,Abundc_txt,AbTx
AbundanceID,N1,Abundc_ID,AbID
Author_email,N1,Auth_Eml,Au_em
AutoPedestrianAlertingSound,N1,AutoPedAlertSound,A_PED_ALRT
ALIGNMENT,N1,ALIGNM,ALN
Age,N1,AG,T_A
Alternate_Type,N1,AltType,AltTp
Accuracy_Notes,N1,Acc_Notes,Ac_Nts
AxleConfigurationId,N1,AxleConfigID,Ax_Conf_ID
ADDRESS2,N1,ADDRS2,ADR_2
Association_observed,N1,Assoc_Obsrv,Asc_Obs
AxleConfiguration,N1,AxleConfig,Ax_Conf
BACKTRUNK,N1,BackTnk,B_Tn
AutoReverseSystem,N1,AutoRevSyst,A_REV
AdaptiveCruiseControlId,N1,AdaptvCrsCntrlID,AdpCrsID
Address2,N1,Addrs2,Adr2
