prompt,completion
StartDate,s_dt
Origin,Orgn
FirstName,FNM
ChargerLevelId,C_LV_ID
WindDirection,W_Dr
Year,y
EYEWEAR,E_wr
SurfaceWater,S_wtr
Release_ID,R_ID
SiteDescription,S_Dscr
CLASS,Cl
AdaptiveDrivingBeam,AdpBm
Date,Dt
CallIndex,Cl_ix
BELTGUIDE,B_GD
City,cy
Alternate_Name,AltNm
LOADPATH1_ALT,Ld_p_a1
Plot,p
Metals,mt
Station_ID,S_ID
FUELEAK,F_Lk
Lab_ID_Previous,LID_P
Revision_Date,R_dt
BAGSTATUS,BG_S
EventID,E_ID
Clouds,Cd
MORTALITY,Mort
EngineElectrificationLevel,EngElLvl
MANEUVER,Mvr
Group,G
HABITAT CODES,H_CD
BrakeSystemType,B_SYS_T
Paste Errors,P_err
Value_Old,V_Old
AutoPedestrianAlertingSoundID,A_PED_ALRT_ID
Superfamily,S_fam
SortID,S_ID
VERSION,V
Condition,Cond
Species_Code,Spec_C
Tag,T
BAGLOCATION,BG_L
version,v
tluWeather,t_wth
Family,fm
FACTOR5,FCT_5
NativityDetails,Nat_Det
LandUse,L_Us
CHILDSEATNO,C_SN
FILLCAP,F_CP
EngineModel,E_Mod
DEATH,DT
Trap #,T_#
CASENUMBER,C_NUM
Date_Change,D_Ch
Position_Title,P_Titl
LATCHTETHER,L_THR
Crosswalk_Initial_Year,xWlk_IN_Y
CoverClass,C_Cls
FIRE,F
Number Observed,N_Obs
Observer,Obsv
Upload_Date,Upl_Dt
MAXWIDTH,M_WD
Herb,Hb
Invert Order,I_Ord
Release_by,R_by
ForwardCollisionWarning,FCWrn
Saplings_ID,S_ID
Agency/Title,Agc_T
Qualifier,Qlr
definition,Dfn
BlindSpotInterventionId,BS_Ivn_ID
SnakeID,s_ID
Updated_date,U_dt
subspecies,S_sp
SteeringLocationId,slocID
Weather,Wx
Subwatershed,SWS
Tribe,Tr
EngineCoolingType,ECT
LastName,LNm
GrossCombWeightRatingTo,GCWR_T
Sex,S
BAGTYPE,BG_T
CultivationCode,C_Cd
Hogs,H
sysdiagrams,S_Diag
RETAINERCLIPUSE,RCU
FUELTYPE,F_TP
OldPlot,O_Pl
LaneCenteringAssistance,LCA
CoverClass_Text,CC_T
SeatBeltType,SBTyp
Superclass,S_CLS
ROLLTYPE,R_TP
Reason,R
Site_ID,S_ID
PARKCODE,P_C
CAUSE1,C_1
EngineCoolingTypeId,ECT_ID
LATCHDESIGN,L_DES
Month,M
StartTime,S_tm
Rating,Rg
Plastron Width,P_Wd
ROLE,R
Revision_Contact_ID,Rcon_ID
EngineElectrificationLevelId,EEL_ID
WEATHER,WX
ParkAssist,P_asst
Update_Comments,U_cmt
Slide_Position,s_pos
PlantState,P_Stat
tluCaptureMethod,tlu_Cpt_mth
Color,cl
FuelTypeSecondary,FT_Sec
Plastron Length,P_len
Crosswalk_Notes,CW_Nt
SCIENTIFIC NAME,SC_NM
Found_by,F_By
MAKE,M
One_half_meter,OHM
Phylum,Pm
AdaptiveDrivingBeamId,AdpBmID
Abundance,Abnc
AntilockBrakeSystem,ABS
AGE,T_A
AbundanceDetails,Ab_dt
ACTIVATE,ACT
BAGMALFUNCTION,BG_M
BAGDAMAGE,B_D
BELTROUT,B_RT
AntilockBrakeSystemId,ABS_ID
Author,Au_t
BAGFLAPSOPEN,BG_F_O
BELTANCHOR,B_ANC
ADDRESS,ADR
BAGDEPLOY,B_Dep
AxlesCount,Ax_c
Aspect,T_As
AbundanceText,AbTx
AbundanceID,AbID
Author_email,Au_em
AutoPedestrianAlertingSound,A_PED_ALRT
ALIGNMENT,ALN
Age,T_A
Alternate_Type,AltTp
Accuracy_Notes,Ac_Nts
AxleConfigurationId,Ax_Conf_ID
ADDRESS2,ADR_2
Association_observed,Asc_Obs
AxleConfiguration,Ax_Conf
BACKTRUNK,B_Tn
AutoReverseSystem,A_REV
AdaptiveCruiseControlId,AdpCrsID
Address2,Adr2
AutomaticCrashNotificationId,A_CRS_NOT_ID
Author_phone,Au_P
BACKLIGHT,BkLt
BELTUSE,B_USE
BACKPICKUP,BK_PU
AutoReverseSystemId,A_REV_ID
Address_Type,Adr_t
Agriculture,Agg
ADAPT,AD
AutomaticCrashNotification,A_CRS_NOT
Activity,actv
AdaptiveCruiseControl,AdpCrs
Address,Adr
