Database,Table,Column,score
ASIS_20161108_HerpInv_Database,Observer_LU,,80.0
ASIS_20161108_HerpInv_Database,tblAbundance_LU,,80.0
ASIS_20161108_HerpInv_Database,tblCultivation_LU,,80.0
ASIS_20161108_HerpInv_Database,tblEventDataHerps,,70.0
ASIS_20161108_HerpInv_Database,tblEvents,,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianCallCounts,,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianEggMassCounts,,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataCoverBoard,,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataDriftFenceSurveys,,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataGreenCardObservations,,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataMinnowTrapSurveys,,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataSnakeDataCollection,,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataStreamSalamanderSurvey,,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTimeConstrainedSearches,,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleTrapSurveys,,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataWaterProperties,,100.0
ASIS_20161108_HerpInv_Database,tblLocations,,100.0
ASIS_20161108_HerpInv_Database,tblLocationsPoints,,100.0
ASIS_20161108_HerpInv_Database,tblLocDataSearchArea,,80.0
ASIS_20161108_HerpInv_Database,tblNativity_LU,,80.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,,70.0
ASIS_20161108_HerpInv_Database,tblParkStatus_LU,,80.0
ASIS_20161108_HerpInv_Database,tblResidency_LU,,80.0
ASIS_20161108_HerpInv_Database,tlinkObservers,,100.0
ASIS_20161108_HerpInv_Database,tluBehavior,,90.0
ASIS_20161108_HerpInv_Database,tluCallIndex,,90.0
ASIS_20161108_HerpInv_Database,tluCaptureMethod,,90.0
ASIS_20161108_HerpInv_Database,tluEggMassStages,,90.0
ASIS_20161108_HerpInv_Database,tluEvidenceCode,,90.0
ASIS_20161108_HerpInv_Database,tluHabitat,,90.0
ASIS_20161108_HerpInv_Database,tluMicroHabitat,,90.0
ASIS_20161108_HerpInv_Database,tluParkCode,,90.0
ASIS_20161108_HerpInv_Database,tluProject,,90.0
ASIS_20161108_HerpInv_Database,tluSampleZone,,90.0
ASIS_20161108_HerpInv_Database,tluSpecies,,90.0
ASIS_20161108_HerpInv_Database,tluStage,,90.0
ASIS_20161108_HerpInv_Database,tluSubstrate,,90.0
ASIS_20161108_HerpInv_Database,tluWeather,,90.0
ASIS_20161108_HerpInv_Database,tluWindSpeed,,90.0
ASIS_20161108_HerpInv_Database,Observer_LU,ObsInits,70.0
ASIS_20161108_HerpInv_Database,Observer_LU,LastName,100.0
ASIS_20161108_HerpInv_Database,Observer_LU,FirstName,100.0
ASIS_20161108_HerpInv_Database,Observer_LU,MiddleInit,80.0
ASIS_20161108_HerpInv_Database,Observer_LU,Agency/Title,100.0
ASIS_20161108_HerpInv_Database,Observer_LU,ADDRESS,100.0
ASIS_20161108_HerpInv_Database,Observer_LU,ADDRESS2,100.0
ASIS_20161108_HerpInv_Database,Observer_LU,CITY,100.0
ASIS_20161108_HerpInv_Database,Observer_LU,State,100.0
ASIS_20161108_HerpInv_Database,Observer_LU,ZipCode,100.0
ASIS_20161108_HerpInv_Database,Observer_LU,EmailAddress,100.0
ASIS_20161108_HerpInv_Database,Observer_LU,HomePhone,100.0
ASIS_20161108_HerpInv_Database,Observer_LU,WorkPhone,100.0
ASIS_20161108_HerpInv_Database,Observer_LU,WorkExtension,100.0
ASIS_20161108_HerpInv_Database,Observer_LU,FaxNumber,100.0
ASIS_20161108_HerpInv_Database,Observer_LU,Notes,100.0
ASIS_20161108_HerpInv_Database,Observer_LU,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,sysdiagrams,name,100.0
ASIS_20161108_HerpInv_Database,sysdiagrams,principal_id,95.0
ASIS_20161108_HerpInv_Database,sysdiagrams,diagram_id,95.0
