text,category,label
KVVATCode,N3,2
ENGINEER_ID,N1,0
IGE11,N3,2
territory,N1,0
AMR2,N3,2
complaint_status_code,N1,0
kpivalue26,N3,2
LANEDEPARTUREWARNINGID,N1,0
end_station_id,N1,0
accountchk,N2,1
DLN12,N3,2
PRQ15,N3,2
CPV23,N3,2
TCODE,N2,1
PAPER,N1,0
HOST_CITY_ID,N1,0
manufacturerfullname,N1,0
KVVATCODE,N3,2
CPV18,N3,2
dln24,N3,2
dfldserie,N2,1
CURRENCY,N1,0
LSTBYDSSC,N3,2
ApplDctFc,N3,2
CELL_MOBILE_PHONE_NUMBER,N1,0
LDEF,N3,2
BUSINESSENTITYCONTACT,N1,0
ElementType,N1,0
saleslimit,N1,0
EnblSbtCVo,N3,2
wedenabled,N1,0
MIN_DEW_POINT_F,N2,1
ISDfCSTEx,N3,2
hometown,N1,0
BaseAbsId,N2,1
TEL2,N2,1
volleys,N1,0
BalaType,N2,1
Event_Details,N1,0
TransAbs,N2,1
BaseDctSc,N2,1
RECPTYPE,N2,1
isforcecmp,N2,1
REFVISTYPE,N2,1
CPV28,N3,2
STREETF,N2,1
STDSTR,N3,2
PCP,N3,2
EMP_HIREDATE,N2,1
death_year,N1,0
suspmods,N2,1
APLYAPEXHR,N3,2
querydetls,N2,1
OperatCode,N2,1
WEATHER,N1,0
IMGRP,N3,2
PERSONAL,N1,0
LINENUMV3,N2,1
FAXF,N2,1
rdr4,N3,2
TRIBUTTYPE,N1,0
OpenCogs,N2,1
CLIENT,N1,0
GPCCode,N2,1
pch28,N3,2
category_name,N1,0
sl1abs,N3,2
ISMULTIPLE,N1,0
STRID11,N3,2
iscalc,N2,1
VOthCntrbt,N3,2
postdcred,N2,1
PAIDEQSC,N3,2
F1,N3,2
OCTG,N3,2
FINANCE_ID,N1,0
EXTCOND1,N2,1
enblyrtrns,N3,2
CollDate,N2,1
ebcatedesc,N2,1
UPDEXSTITM,N2,1
smtppasswd,N2,1
TaxCodeVnd,N2,1
Box1099,N1,0
bname,N2,1
cdpm,N3,2
NFMCODE,N2,1
TTLCOSTSC,N3,2
precipitation,N1,0
ATTRITXT17,N3,2
ige11,N3,2
TaxCtg,N2,1
premises_type,N1,0
DocAlias,N2,1
exhibition,N1,0
packagetyp,N1,0
ACD2,N3,2
PYMDOCAMNT,N2,1
RRR16,N3,2
InvoiceLine,N1,0
credstotal,N2,1
noinvtrymv,N2,1
TotalLine,N1,0
seriesnum,N1,0
CHARGEDQTY,N1,0
country,N1,0
PREREQ,N1,0
INITOBJTYP,N2,1
accesschnl,N2,1
PRODUCT,N1,0
NATUREBIZ,N2,1
OMRV,N3,2
INTERNALSN,N2,1
TOTALLINE,N1,0
WndTo,N2,1
ARSC1,N3,2
tblFieldDataGreenCardObservations,N2,1
log_entry_date,N1,0
LEADER_NAME,N1,0
orderdetails,N1,0
RECREAR3,N3,2
ecinacct,N3,2
posrcptno,N2,1
clearact,N2,1
ITEMCURR,N2,1
ENGKBCARD,N2,1
dispctinbp,N3,2
fisseries,N2,1
INVOICELINEID,N1,0
orddpract,N2,1
SNBMDABS,N3,2
OILM,N3,2
CompISRBil,N3,2
RPC6,N3,2
guest_first_name,N1,0
paragraphs,N1,0
TBLLOCDATASEARCHAREA,N2,1
TRSEQHINM,N3,2
MAIN_SERVICES,N1,0
PARKSTATUSID,N1,0
Component,N1,0
PRECIPITATION,N1,0
dsbentry,N2,1
CHARGE_ID,N1,0
widgetid,N1,0
argname,N2,1
INV21,N3,2
MODIF12,N3,2
SeriesPost,N1,0
ActBPrCost,N2,1
trsfrsumsy,N3,2
order_delivered_datetime,N1,0
product_category_code,N1,0
naturalper,N2,1
alr1,N3,2
form_status_code,N1,0
salesoat,N2,1
model_list,N1,0
DstRegCry,N2,1
ConsiderBP,N2,1
validfrom4,N1,0
OUTQTY,N2,1
LATCHUSE,N1,0
ARAbsEntry,N2,1
MEMOIN,N2,1
POSRCPTNO,N2,1
ExItemTo,N2,1
WOR2,N3,2
disselitem,N2,1
g_c,N3,2
apigstacc,N3,2
SplitPayAc,N2,1
ObjectC26,N3,2
prq7,N3,2
typical_buying_price,N1,0
Shipments,N1,0
UIC4,N3,2
part_faults,N1,0
cancelabs,N2,1
ITEMCODEFR,N2,1
binactivat,N2,1
ACQ1,N3,2
SPALDPR,N3,2
OPENTG,N2,1
BANDMATEID,N1,0
ENGINETURBO,N1,0
PRODUCT_SIZE,N1,0
considerbp,N2,1
CNTBLNC,N3,2
BASETYPE,N1,0
acc hs graduation rate,N2,1
father,N1,0
SurBAmtFC,N3,2
updatedtf,N2,1
creatdraft,N1,0
previous_lat,N2,1
ADT1,N3,2
HSBNKSWIFT,N3,2
BCGSUMSY,N3,2
tbl_Transect,N2,1
IUOMENTRY,N3,2
TAXREPTYPE,N2,1
FoCTax,N3,2
FTR3,N3,2
CEST,N3,2
Params,N2,1
CHECKBOX22,N1,0
PymBnkSwif,N3,2
SQLTYPE,N1,0
ttlcrdtsc,N3,2
InvID,N2,1
BPBANKCTR,N2,1
wimpfile,N3,2
EnSetCost,N2,1
TRIM2,N1,0
multilang,N2,1
wipactcode,N2,1
wtq11,N3,2
creditmemo,N2,1
KPIVALUE7,N3,2
DPI4,N3,2
OSQL,N3,2
invert family,N2,1
PanNo,N2,1
DFLTINCOM,N3,2
PhBudget,N2,1
NetMassSgn,N2,1
ConfigDate,N2,1
DAY_OF_WEEK,N1,0
BoeNumFrom,N2,1
UNDPSVOUCH,N2,1
Friday,N1,0
PAYMCREAT,N2,1
SelBankAct,N2,1
TOSTRING,N2,1
PIXEL_ASPECT_RATIO_PAR,N2,1
basediscpr,N2,1
job_id,N1,0
ACTUAL_DESTRUCTION_DATE,N1,0
ReconSumFC,N2,1
