text,category,label
@,N3,2
~TMPCLP650861,N3,2
AAAR,N3,2
AAC1,N3,2
AADP,N3,2
ABAT,N3,2
ABO1,N3,2
ABOC,N3,2
ABOE,N3,2
ABP2,N3,2
ABT1,N3,2
ABTN,N3,2
ABTW,N3,2
Accounts,N1,0
ACD1,N3,2
ACD2,N3,2
ACEST,N3,2
ACFP,N3,2
ACH1,N3,2
ACH2,N3,2
ACH3,N3,2
ACHO,N3,2
ACL1,N3,2
ACL2,N3,2
ACLG,N3,2
ACM1,N3,2
ACP2,N3,2
ACPN,N3,2
ACPR,N3,2
ACQ1,N3,2
ACQ2,N3,2
ACR5,N3,2
ACR7,N3,2
ACRC,N3,2
ACRD,N3,2
ACS1,N3,2
ACT2,N3,2
actor,N1,0
Actual_Order_Products,N1,0
Actual_Orders,N1,0
address,N1,0
ADG1,N3,2
ADM1,N3,2
ADMC,N3,2
ADO1,N3,2
ADO10,N3,2
ADO12,N3,2
ADO13,N3,2
ADO14,N3,2
ADO17,N3,2
ADO18,N3,2
ADO2,N3,2
ADO20,N3,2
ADO22,N3,2
ADO23,N3,2
ADO24,N3,2
ADO25,N3,2
ADO4,N3,2
ADO6,N3,2
ADO8,N3,2
ADO9,N3,2
ADOC,N3,2
ADP2,N3,2
ADRC,N3,2
ADTP,N3,2
advisor,N1,0
AEBK,N3,2
AEC1,N3,2
AEC2,N3,2
AEC4,N3,2
AEC7,N3,2
AEC8,N3,2
AECM,N3,2
AEDG,N3,2
AEXD,N3,2
AEXT,N3,2
AFAD,N3,2
Affiliated_With,N1,0
AFM1,N3,2
AFML,N3,2
AGAR,N2,1
Agreements,N1,0
AHE1,N3,2
AHE3,N3,2
AHEM,N3,2
AHF1,N3,2
AHT1,N3,2
AIGW,N3,2
AIN1,N3,2
AIN11,N3,2
AIN12,N3,2
AIN2,N3,2
AIN3,N3,2
AIN4,N3,2
AIN9,N3,2
AINF,N3,2
AIRBAG,N1,0
aircraft,N1,0
airport_aircraft,N1,0
airports,N1,0
AIRR,N3,2
AIS1,N3,2
AISC,N3,2
AISI,N3,2
AIT1,N3,2
AIT11,N3,2
AIT3,N3,2
AIT5,N3,2
AIT7,N3,2
AIT9,N3,2
AITM,N3,2
AJD1,N3,2
AJD2,N3,2
AKL1,N3,2
Album,N1,0
Albums,N1,0
All_Documents,N1,0
ALR1,N3,2
ALT2,N3,2
AMD1,N3,2
AMDR,N3,2
AMDR1,N3,2
AMR4,N3,2
AMRV,N3,2
ANCM,N3,2
ANN1,N3,2
ANNM,N3,2
ANS1,N3,2
AOA2,N3,2
AOA3,N3,2
AOAT,N3,2
AOCR,N3,2
AOPR,N3,2
Apartment_Facilities,N1,0
Apartments,N1,0
APFS,N3,2
APH1,N3,2
APH3,N3,2
APH5,N3,2
APH7,N3,2
APH8,N3,2
APHA,N3,2
APJ2,N3,2
APJT,N3,2
APLN,N3,2
APM1,N3,2
APM3,N3,2
APM4,N3,2
APM5,N3,2
APM6,N3,2
APM8,N3,2
APMG,N3,2
Appointment,N1,0
AQI1,N3,2
AQR1,N3,2
AQR3,N3,2
AQR4,N3,2
AQR5,N3,2
ARC3,N3,2
ARC4,N3,2
ARC5,N3,2
ARC6,N3,2
ARC8,N3,2
ARC9,N3,2
AREA_CODE_STATE,N1,0
ARI1,N3,2
ARSB,N3,2
ARSC,N3,2
ARSC1,N3,2
ARSC2,N3,2
ARSC3,N3,2
ARSC6,N3,2
artists,N1,0
ARTS,N3,2
ARTT,N3,2
ASC1,N3,2
ASC2,N3,2
ASC3,N3,2
ASC5,N3,2
ASC6,N3,2
ASC7,N3,2
ASGP,N3,2
ASI1,N3,2
ASP1,N3,2
ASP2,N3,2
ASPP,N3,2
ASQL,N3,2
ASRN,N3,2
Assets,N1,0
Assets_in_Events,N1,0
AssignedTo,N1,0
ASTC,N3,2
ASTT,N3,2
ASUC,N3,2
ATG1,N3,2
ATHL,N3,2
ATR1,N3,2
ATSP,N3,2
ATT1,N3,2
ATT2,N3,2
Attribute_Definitions,N1,0
ATX2,N3,2
ATX3,N3,2
ATXI,N3,2
AUG1,N3,2
AUGP,N3,2
AUOM,N3,2
Authors,N1,0
Authorship,N1,0
AVEB,N3,2
AVM1,N3,2
AVOID,N2,1
AVT1,N3,2
AVTG,N3,2
AWD2,N3,2
AWD3,N3,2
AWD4,N3,2
AWD5,N3,2
AWEX,N3,2
AWH1,N3,2
AWHT,N3,2
AWL2,N3,2
AWL3,N3,2
AWLS,N3,2
AWO1,N3,2
AWO2,N3,2
AWO3,N3,2
AWO4,N3,2
AWO5,N3,2
AWOR,N3,2
AWTT,N3,2
BGT1,N3,2
BGT2,N3,2
BGT3,N3,2
Block,N1,0
BNK2,N3,2
book,N1,0
Bookings,N1,0
BOX2,N1,0
BOX3,N1,0
branch,N1,0
bridge,N1,0
broadcast,N1,0
broadcast_share,N1,0
browser,N1,0
BSJ1,N3,2
BTF1,N3,2
budget,N1,0
building,N1,0
buildings,N1,0
Business_Rates,N1,0
camera_lens,N1,0
Campuses,N1,0
candidate,N1,0
Candidates,N1,0
car_makers,N1,0
Cartoon,N1,0
CASE1,N1,0
Catalog_Contents,N1,0
Catalog_Contents_Additional_Attributes,N1,0
Catalogs,N1,0
CCAL,N3,2
CCS1,N3,2
CDC,N3,2
CDIC,N3,2
CDPM,N3,2
CFH1,N3,2
CFN1,N3,2
CFUS,N3,2
Characteristics,N1,0
CHD2,N3,2
checkin,N1,0
CHECKING,N1,0
CHFL,N3,2
CHILDSEAT,N1,0
CHO2,N3,2
CHO3,N3,2
church,N1,0
CIF1,N3,2
CIGR,N3,2
CIN10,N3,2
CIN11,N3,2
CIN13,N3,2
CIN16,N3,2
CIN18,N3,2
CIN19,N3,2
CIN20,N3,2
CIN22,N3,2
CIN24,N3,2
CIN25,N3,2
CIN26,N3,2
CIN27,N3,2
CIN28,N3,2
CIN4,N3,2
