prompt,completion
ACTIVATE ^++^+^+^,N1
ADAPT ^+^++,N1
ADDRESS ^+++^++,N1
AIS ^^+,N3
AISCODE ^^++^+^,N3
ALCTESTSRC ^+++^+++++,N2
ALIGNMENT ^+^+++^++,N1
ARRMEDICAL ^+++^+^+^+,N2
AVAIL ^+^^+,N2
AbundanceID ^+^++^++^^+,N1
ActiveSafetySysNote ^++^+^+^+^++++++^+^,N2
Activity ^++^+^++,N1
AdaptiveCruiseControl ^+^++^+^++^^+^+^+++^+,N1
Address ^+++^++,N1
Address2 ^+++^++#,N1
Address_Type ^+++^++$+++^,N1
AirBagLocCurtain ^^++^++^++^++^^+,N2
AirBagLocFrontId ^^++^++^+++^++^+,N2
AirBagLocKnee ^^++^++^+++^^,N2
AirBagLocSeatCushion ^^++^++^++^^++^++^^+,N2
AirBagLocSeatCushionId ^^++^++^++^^++^++^^+^+,N2
AirBagLocSideId ^^++^++^++^+^^+,N2
Alternate_Type ^++^++^+^$+++^,N1
AntilockBrakeSystem ^++^+^++++^+^++++^+,N1
AntilockBrakeSystemId ^++^+^++++^+^++++^+^+,N1
Aspect ^++^++,N1
Association_observed ^++^+^^+^^+$^++^++^+,N1
Author ^^++^+,N1
Author_email ^^++^+$^+^^+,N1
Author_org ^^++^+$^++,N2
AutoPedestrianAlertingSound ^^+^+^+^+++^^+^+^++^+++^^++,N1
AutoPedestrianAlertingSoundID ^^+^+^+^+++^^+^+^++^+++^^++^+,N1
AutoReverseSystemId ^^+^+^+^++^++++^+^+,N1
AutomaticCrashNotification ^^+^+^+^+++^+++^+^+^+^+^^+,N1
AxlesCount ^++^++^^++,N1
BACKBPILL +^++++^++,N2
BACKPICKUP +^+++^++^+,N1
BACKTRUNK +^++++^++,N1
BAGDAMAGE +^++^+^+^,N1
BAGDEPLOY +^++^++^+,N1
BAGDVBES +^++++^+,N3
BAGDVLAT +^++++^+,N3
BAGDVRANK +^++++^++,N2
BAGDVSPEED +^+++++^^+,N2
BAGFLAPSDAM +^+++^+++^+,N2
BAGFLAPSOPEN +^+++^++^+^+,N1
BAGMALFUNCTION +^++^++^+++^^+,N1
BAGSTATUS +^+++^+^+,N1
BAGTYPE +^++++^,N1
BC ++,N3
BC_P_5 ++$+$#,N3
BELTANCHORINSP +^++^+++^+^+++,N2
BELTAVAILINSP +^++^+^^+^+++,N2
BELTGUIDE +^+++^^+^,N1
BELTLAPPOS +^+++^++^+,N2
BELTPOSDEVPRES +^+++^++^+++^+,N3
BELTPOSDEVUSE +^+++^++^+^+^,N3
BELTPRETENSIONINSP +^++++^+^++^^+^+++,N2
BELTUSE +^++^+^,N1
BELTUSEINSP +^++^+^^+++,N2
BELTUSESRC +^++^+^+++,N3
BENTHOS_TotalAreaSampled_m2 +^+++^+$+^+^+^+^^+^+++^+$+#,N2
BMI ++^,N3
BNA_Account ++^$^++^^++,N3
BODYCAT +^+++^+,N2
BODYTYPE +^+++++^,N1
BackupCamera +^++^++^+^+^,N1
BackupCameraID +^++^++^+^+^^+,N1
Backup_prompt_exit +^++^+$++^+++$^+^+,N1
Backup_prompt_startup +^++^+$++^+++$++^++^+,N1
BareGround +^+^++^^++,N1
BatteryA_from +^++^++^$++^+,N2
BatteryA_to +^++^++^$+^,N2
BatteryKWh_to +^++^+++++$+^,N2
BatteryModulesPerPack +^++^+++^+^+^++^++^++,N1
