TABLE_NAME,COLUMN_NAME,DATABASE_NAME
perpetrator,perpetrator id,perpetrator
perpetrator,people id,perpetrator
perpetrator,date,perpetrator
perpetrator,year,perpetrator
perpetrator,location,perpetrator
perpetrator,country,perpetrator
perpetrator,killed,perpetrator
perpetrator,injured,perpetrator
people,people id,perpetrator
people,name,perpetrator
people,height,perpetrator
people,weight,perpetrator
people,home town,perpetrator
classroom,building,college_2
classroom,room number,college_2
classroom,capacity,college_2
department,department name,college_2
department,building,college_2
department,budget,college_2
course,course id,college_2
course,title,college_2
course,department name,college_2
course,credits,college_2
instructor,id,college_2
instructor,name,college_2
instructor,department name,college_2
instructor,salary,college_2
section,course id,college_2
section,section id,college_2
section,semester,college_2
section,year,college_2
section,building,college_2
section,room number,college_2
section,time slot id,college_2
teaches,id,college_2
teaches,course id,college_2
teaches,section id,college_2
teaches,semester,college_2
teaches,year,college_2
student,id,college_2
student,name,college_2
student,department name,college_2
student,total credits,college_2
takes classes,id,college_2
takes classes,course id,college_2
takes classes,section id,college_2
takes classes,semester,college_2
takes classes,year,college_2
takes classes,grade,college_2
advisor,student id,college_2
advisor,instructor id,college_2
time slot,time slot id,college_2
time slot,day,college_2
time slot,start hour,college_2
time slot,start minute,college_2
time slot,end hour,college_2
time slot,end minute,college_2
prerequisite,course id,college_2
prerequisite,prerequisite id,college_2
airport,id,flight_company
airport,city,flight_company
airport,country,flight_company
airport,iata,flight_company
airport,icao,flight_company
airport,name,flight_company
operate company,id,flight_company
operate company,name,flight_company
operate company,type,flight_company
operate company,principal activities,flight_company
operate company,incorporated in,flight_company
operate company,group equity shareholding,flight_company
flight,id,flight_company
flight,vehicle flight number,flight_company
flight,date,flight_company
flight,pilot,flight_company
flight,velocity,flight_company
flight,altitude,flight_company
flight,airport id,flight_company
flight,company id,flight_company
institution,institution id,icfp_1
institution,name,icfp_1
institution,country,icfp_1
authors,author id,icfp_1
authors,last name,icfp_1
authors,first name,icfp_1
papers,paper id,icfp_1
