TABLE_NAME,TABLE_SCORE,COLUMN_NAME,COLUMN_SCORE,MODEL,DATABASE_NAME
perpetrator,N1,perpetrator id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,perpetrator
perpetrator,N1,people id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,perpetrator
perpetrator,N1,date,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,perpetrator
perpetrator,N1,year,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,perpetrator
perpetrator,N1,location,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,perpetrator
perpetrator,N1,country,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,perpetrator
perpetrator,N1,killed,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,perpetrator
perpetrator,N1,injured,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,perpetrator
people,N1,people id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,perpetrator
people,N1,name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,perpetrator
people,N1,height,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,perpetrator
people,N1,weight,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,perpetrator
people,N1,home town,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,perpetrator
classroom,N1,building,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
classroom,N1,room number,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
classroom,N1,capacity,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
department,N1,department name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
department,N1,building,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
department,N1,budget,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
course,N1,course id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
course,N1,title,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
course,N1,department name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
course,N1,credits,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
instructor,N1,id,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
instructor,N1,name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
instructor,N1,department name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
instructor,N1,salary,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
section,N1,course id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
section,N1,section id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
section,N1,semester,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
section,N1,year,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
section,N1,building,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
section,N1,room number,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
section,N1,time slot id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
teaches,N1,id,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
teaches,N1,course id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
teaches,N1,section id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
teaches,N1,semester,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
teaches,N1,year,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
student,N1,id,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
student,N1,name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
student,N1,department name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
student,N1,total credits,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
takes classes,N1,id,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
