TABLE_NAME,COLUMN_NAME
AMGP,AbsEntry
AMGP,MatGrp
AMGP,Descrip
AMGP,LogInstanc
AMGP,UserSign2
AMGP,UpdateDate
INV6,DocEntry
INV6,InstlmntID
INV6,ObjType
INV6,LogInstanc
INV6,DueDate
INV6,Status
INV6,DunnLevel
INV6,InsTotal
INV6,InsTotalFC
INV6,InsTotalSy
INV6,PaidToDate
INV6,PaidFC
INV6,PaidSys
INV6,VatSum
INV6,VatSumFC
INV6,VatSumSy
INV6,VatPaid
INV6,VatPaidFC
INV6,VatPaidSys
INV6,TotalExpns
INV6,TotalExpFC
INV6,TotalExpSC
INV6,ExpAppl
INV6,ExpApplFC
INV6,ExpApplSC
INV6,WTSum
INV6,WTSumFC
INV6,WTSumSC
INV6,WTApplied
INV6,WTAppliedF
INV6,WTAppliedS
INV6,TotalBlck
INV6,TotalBlckF
INV6,TotalBlckS
INV6,VATBlck
INV6,VATBlckFC
INV6,VATBlckSC
INV6,ExpnsBlck
INV6,ExpnsBlckF
INV6,ExpnsBlckS
INV6,WTBlocked
INV6,WTBlockedF
INV6,WTBlockedS
INV6,InstPrcnt
INV6,DunWizBlck
INV6,DunDate
INV6,Paid
INV6,PaidFrgn
INV6,PaidSc
INV6,reserved
INV6,TaxOnExp
INV6,TaxOnExpFc
INV6,TaxOnExpSc
INV6,TaxOnExpAp
INV6,TaxOnExApF
INV6,TaxOnExApS
INV6,TaxOnExBlo
INV6,TaxOnExBlF
INV6,TaxOnExBlS
INV6,LvlUpdDate
INV6,Ordered
INV6,PaidDpm
INV6,PaidDpmFc
INV6,PaidDpmSc
INV6,EncryptIV
DPI23,DocEntry
DPI23,LineNum
DPI23,AssetCode
DPI23,Status
DPI23,Remarks
DPI23,Amount
DPI23,AmountSC
DPI23,SerialNo
DPI23,VisOrder
DPI23,LogInstanc
DPI23,ObjectType
SFI21,DocEntry
SFI21,ObjectType
SFI21,LogInstanc
SFI21,RefType
SFI21,LineNum
SFI21,RefDocEntr
SFI21,RefDocNum
SFI21,ExtDocNum
SFI21,RefObjType
SFI21,AccessKey
SFI21,IssueDate
SFI21,IssuerCNPJ
SFI21,IssuerCode
SFI21,Model
SFI21,Series
SFI21,Number
SFI21,RefAccKey
SFI21,RefAmount
SFI21,SubSeries
SFI21,Remark
SFI21,LinkRefTyp
OWTJ,Id
OWTJ,IsASync
OWTJ,Status
OWTJ,StartDate
OWTJ,StartTime
OWTJ,TimerEtyId
OWTJ,JobHanConf
OWTJ,JobHanType
OWTJ,LastUpdate
UIC1,TPLId
UIC1,FormId
UIC1,Width
UIC1,Height
UIC1,MenuId
OUKD,TableName
OUKD,KeyId
OUKD,KeyName
OUKD,UniqueKey
OUKD,Action
ABOE,BoeKey
ABOE,BoeNum
ABOE,BoeStatus
ABOE,BoeType
ABOE,DpsBankCod
ABOE,DpsCntrCod
ABOE,DueDate
ABOE,DpstAcct
ABOE,DpstBranch
